Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,0.25,0.31,0.5,0.6,0.61,0.65,0,0
Cash & Cash Equivalents,0.25,0.31,0.5,0.6,0.61,0.65,0,0
Cash Growth,-58.77%,-51.88%,-,-,-,-,-,-
Other Current Assets,0.07,0.1,0.13,0.13,0.15,0.13,-,-
Total Current Assets,0.32,0.42,0.63,0.74,0.76,0.77,-,-
Long-Term Investments,148.74,147.23,146.84,146.64,146.63,146.63,-,-
Other Long-Term Assets,0,0,0,0.04,0.07,0.13,-,-
Total Long-Term Assets,148.74,147.23,146.84,146.68,146.7,146.76,-,-
Total Assets,149.07,147.65,147.47,147.42,147.46,147.53,0.43,0.09
Accounts Payable,3.15,2.66,0,0,0.71,0.02,0.05,0
Other Current Liabilities,0,0,1.86,1.49,0,0.03,0.36,0.07
Total Current Liabilities,3.15,2.66,1.86,1.49,0.71,0.05,0.41,0.07
Other Long-Term Liabilities,5.03,5.03,5.03,5.03,5.03,5.03,0,0
Total Long-Term Liabilities,5.03,5.03,5.03,5.03,5.03,5.03,0,0
Total Liabilities,8.18,7.69,6.89,6.52,5.74,5.08,0.41,0.07
Common Stock,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-4.99,-4.4,-3.38,-2.85,-2.03,-1.3,-0.01,-0
Shareholders' Equity,-4.99,-4.4,-3.38,-2.85,-2.03,-1.3,0.01,0.02
Total Liabilities and Equity,3.2,3.29,3.51,3.67,3.71,3.78,0.43,0.09
Net Cash / Debt,0.25,0.31,0.5,0.6,0.61,0.65,0,0
Net Cash / Debt Growth,-58.77%,-51.88%,-,-,-,-,-,-
Net Cash Per Share,0.01,0.02,0.03,0.03,0.05,0.04,-,-
Working Capital,-2.83,-2.25,-1.23,-0.75,0.05,0.72,-,-
Book Value Per Share,-0.28,-0.24,-0.19,-0.16,-0.17,-0.07,0.00,0.01
