Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-29
Cash & Equivalents,0.09,0.05,0.09,0.12,0.32,0.46,0.91,0,0
Cash & Cash Equivalents,0.09,0.05,0.09,0.12,0.32,0.46,0.91,0,0
Cash Growth,-72.48%,-87.96%,-90.55%,-,-,-,-,-,-
Other Current Assets,0.19,0.33,0.46,0.46,0.46,0.47,0.48,-,-
Total Current Assets,0.28,0.38,0.55,0.58,0.78,0.92,1.39,-,-
Long-Term Investments,228.25,226.35,225.34,225.03,225.01,225,225,-,-
Other Long-Term Assets,0,0,0,0.07,0.18,0.29,0.41,-,-
Total Long-Term Assets,228.25,226.35,225.34,225.1,225.19,225.3,225.41,-,-
Total Assets,228.53,226.73,225.89,225.68,225.97,226.22,226.8,0.21,0.18
Accounts Payable,2.6,1.49,0.41,0.32,0.36,0.04,0.01,0,0
Current Debt,1.15,0.4,0.4,0,0,0,0,0.04,0
Other Current Liabilities,0.6,0.21,0.01,0,0,0.13,0.46,0.15,0.15
Total Current Liabilities,4.35,2.1,0.82,0.32,0.36,0.17,0.47,0.19,0.15
Other Long-Term Liabilities,10.16,9.35,9.6,10.62,15.26,14.92,18.71,0,0
Total Long-Term Liabilities,10.16,9.35,9.6,10.62,15.26,14.92,18.71,0,0
Total Liabilities,14.51,11.45,10.43,10.94,15.62,15.08,19.18,0.19,0.15
Total Debt,1.15,0.4,0.4,0,0,0,0,0.04,0
Common Stock,0,0,0,0,0,-0,5.66,0.03,0.03
Retained Earnings,-13.23,-10.52,-9.57,-10.3,-14.65,-13.87,-0.66,-0,-0
Shareholders' Equity,-13.23,-10.52,-9.57,-10.3,-14.65,-13.87,5,0.02,0.02
Total Liabilities and Equity,1.28,0.94,0.85,0.64,0.96,1.22,24.18,0.21,0.18
Net Cash / Debt,-1.06,-0.35,-0.31,0.12,0.32,0.46,0.91,-0.04,0
Net Cash Per Share,-0.04,-0.01,-0.01,0.00,0.02,0.02,0.07,-0.01,-
Working Capital,-4.07,-1.72,-0.27,0.25,0.43,0.75,0.92,-,-
Book Value Per Share,-0.47,-0.37,-0.34,-0.37,-0.73,-0.49,0.36,0.00,0.00
