Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-19
Cash & Equivalents,0.01,0.09,0.59,0.79,0.98,0,0,0
Cash & Cash Equivalents,0.01,0.09,0.59,0.79,0.98,0,0,0
Cash Growth,-98.93%,-,-,-,-,-,-,-
Other Current Assets,0.21,0.23,0.23,0.23,0.23,-,-,-
Total Current Assets,0.22,0.32,0.82,1.02,1.21,-,-,-
Long-Term Investments,237.99,236,234.94,234.63,234.6,-,-,-
Other Long-Term Assets,0,0.02,0.08,0.13,0.19,-,-,-
Total Long-Term Assets,237.99,236.02,235.02,234.76,234.79,-,-,-
Total Assets,238.21,236.34,235.84,235.78,236.01,0.35,0.03,0.01
Accounts Payable,6.43,4.41,2.93,2.72,0.18,0,0,0
Current Debt,0.5,0.3,0,0,0,0.08,0,0
Other Current Liabilities,0,0,0,0,0,0.26,0.03,0
Total Current Liabilities,6.93,4.71,2.93,2.72,0.18,0.34,0.03,0
Other Long-Term Liabilities,12.1,12.1,12.1,12.1,12.1,0,0,0
Total Long-Term Liabilities,12.1,12.1,12.1,12.1,12.1,0,0,0
Total Liabilities,19.03,16.81,15.03,14.82,12.28,0.34,0.03,0
Total Debt,0.5,0.3,0,0,0,0.08,0,0
Debt Growth,-,275.52%,-,-,-,-,-,-
Common Stock,0,0,0,0,0,0.03,0.03,0.03
Retained Earnings,-18.81,-16.47,-14.14,-13.66,-10.87,-0.02,-0.02,-0.02
Shareholders' Equity,-18.81,-16.47,-14.14,-13.66,-10.87,0.01,0.01,0.01
Total Liabilities and Equity,0.22,0.33,0.89,1.16,1.4,0.35,0.03,0.01
Net Cash / Debt,-0.49,-0.21,0.59,0.79,0.98,-0.08,-0,0
Net Cash Per Share,-0.02,-0.01,0.02,0.02,0.07,-0.01,-0.00,-
Working Capital,-6.71,-4.39,-2.11,-1.69,1.04,-,-,-
Book Value Per Share,-0.59,-0.51,-0.44,-0.42,-0.81,0.00,0.00,-
