Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-23
Cash & Equivalents,0.03,0.07,0.15,0.21,0.3,0,0,0
Cash & Cash Equivalents,0.03,0.07,0.15,0.21,0.3,0,0,0
Cash Growth,-88.75%,-,-,-,-,-,-,-
Receivables,0.26,0.26,0.26,0.26,0.28,0,0,0
Other Current Assets,0.35,0.43,0.44,0.47,0.43,-,-,-
Total Current Assets,0.64,0.75,0.85,0.94,1.01,-,-,-
Long-Term Investments,239.43,237.76,237.01,236.91,236.9,-,-,-
Other Long-Term Assets,0,0.04,0.14,0.24,0.35,-,-,-
Total Long-Term Assets,239.43,237.79,237.16,237.15,237.25,-,-,-
Total Assets,240.07,238.55,238,238.09,238.26,0.56,0.67,0.22
Accounts Payable,0.13,0.1,0.07,0.04,0.01,0,0,0
Current Debt,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
Other Current Liabilities,0.58,0.63,0.56,0.46,0.12,0.43,0.53,0.2
Total Current Liabilities,0.83,0.85,0.75,0.62,0.25,0.55,0.65,0.2
Other Long-Term Liabilities,8.05,8.05,8.05,8.05,8.05,0,0,0
Total Long-Term Liabilities,8.05,8.05,8.05,8.05,8.05,0,0,0
Total Liabilities,8.88,8.9,8.8,8.67,8.3,0.55,0.65,0.2
Total Debt,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
Common Stock,0,0,0,0,0,0.03,0.03,0.03
Retained Earnings,-8.24,-8.11,-7.81,-7.48,-6.94,-0.01,-0.01,-0
Shareholders' Equity,-8.24,-8.11,-7.81,-7.48,-6.94,0.02,0.02,0.02
Total Liabilities and Equity,0.64,0.79,0.99,1.19,1.36,0.56,0.67,0.22
Net Cash / Debt,-0.08,-0.05,0.03,0.09,0.19,-0.12,-0.12,0
Net Cash Per Share,-0.00,-0.00,0.00,0.00,0.02,-0.02,-0.02,-
Working Capital,-0.19,-0.1,0.1,0.32,0.77,-,-,-
Book Value Per Share,-0.32,-0.32,-0.30,-0.29,-0.69,0.00,0.00,-
