Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-29
Cash & Equivalents,0.73,1.07,1.36,1.61,1.97,0.03,0.01,-,0.03
Cash & Cash Equivalents,0.73,1.07,1.36,1.61,1.97,0.03,0.01,0,0.03
Cash Growth,-62.77%,4026.92%,12254.55%,-,7764.00%,-,-,-,-
Other Current Assets,0.37,0.5,0.63,0.76,0.82,1.83,-,-,0
Total Current Assets,1.1,1.57,1.99,2.37,2.79,1.86,-,-,0.03
Long-Term Investments,344.46,342.57,341.35,340.96,340.94,0,-,-,0
Total Long-Term Assets,344.46,342.57,341.35,340.96,340.94,0,-,-,0
Total Assets,345.56,344.14,343.34,343.33,343.73,1.86,0.18,-,0.03
Accounts Payable,0,0.07,0.1,0.09,0.1,1.62,0,-,0
Current Debt,0,0,0,0,0,0.2,0.16,-,0
Other Current Liabilities,0.69,0.91,0.69,0.48,0.32,0.02,0,-,0
Total Current Liabilities,0.7,0.98,0.79,0.57,0.42,1.84,0.16,-,0
Other Long-Term Liabilities,13.79,14.72,16.76,20.85,27.54,0,0,-,0
Total Long-Term Liabilities,13.79,14.72,16.76,20.85,27.54,0,0,-,0
Total Liabilities,14.49,15.7,17.56,21.42,27.96,1.84,0.16,-,0
Total Debt,0,0,0,0,0,0.2,0.16,-,0
Common Stock,0,0,0,0,0,0.03,0.03,-,0.03
Retained Earnings,-13.33,-13.73,-15.15,-19.02,-25.16,-0.01,-0,-,-0
Shareholders' Equity,-13.33,-13.73,-15.15,-19.02,-25.16,0.02,0.02,-,0.02
Total Liabilities and Equity,1.16,1.97,2.41,2.4,2.8,1.86,0.18,-,0.03
Net Cash / Debt,0.73,1.07,1.36,1.61,1.97,-0.17,-0.15,0,0.03
Net Cash / Debt Growth,-62.77%,-,-,-,7764.00%,-,-,-,-
Net Cash Per Share,0.02,0.02,0.03,0.04,0.10,-0.02,-0.01,-,-
Working Capital,0.4,0.59,1.19,1.8,2.37,0.02,-,-,0.02
Book Value Per Share,-0.29,-0.30,-0.33,-0.42,-1.33,0.00,0.00,-,-
