Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.28,0.13,0.05,0.27,0.34,0.58,0.69,1,0
Cash & Cash Equivalents,0.28,0.13,0.05,0.27,0.34,0.58,0.69,1,0
Cash Growth,-16.53%,-77.39%,-92.72%,-72.73%,-,-,-,-,-
Other Current Assets,0.08,0.21,0.34,0.05,0.09,0.2,0.32,0.44,0.3
Total Current Assets,0.36,0.34,0.39,0.32,0.42,0.78,1.01,1.44,0.3
Long-Term Investments,15.13,277.11,275.82,276.02,276.02,276.01,276,276,0
Total Long-Term Assets,15.13,277.11,275.82,276.02,276.02,276.01,276,276,0
Total Assets,15.49,277.45,276.2,276.34,276.44,276.79,277.02,277.44,0.3
Accounts Payable,1.56,0.52,1.48,1.61,1.18,0.14,0.13,0.21,0.01
Current Debt,1.04,0.84,0.3,0,0,0,0,0,0
Other Current Liabilities,0.99,0.35,0.3,0.25,0.2,0.15,0.1,0.05,0.26
Total Current Liabilities,3.59,1.71,2.08,1.86,1.38,0.29,0.23,0.26,0.28
Other Long-Term Liabilities,10.6,10.46,11.58,15.8,20.19,21.36,28.41,28.64,0
Total Long-Term Liabilities,10.6,10.46,11.58,15.8,20.19,21.36,28.41,28.64,0
Total Liabilities,14.19,12.18,13.67,17.66,21.57,21.65,28.64,28.9,0.28
Total Debt,1.04,0.84,0.3,0,0,0,0,0,0
Common Stock,0.14,0.14,0.14,0,0,0,7.13,6.96,0.03
Retained Earnings,-13.97,-11.98,-13.42,-17.32,-21.13,-20.86,-2.13,-1.96,-0
Shareholders' Equity,-13.83,-11.84,-13.28,-17.32,-21.13,-20.86,5,5,0.02
Total Liabilities and Equity,0.36,0.34,0.39,0.34,0.44,0.79,33.64,33.9,0.3
Net Cash / Debt,-0.76,-0.71,-0.25,0.27,0.34,0.58,0.69,1,0
Net Cash / Debt Growth,-,-,-,-72.73%,-,-,-,-,-
Net Cash Per Share,-0.02,-0.02,-0.01,0.01,0.01,0.02,0.02,0.03,-
Working Capital,-3.23,-1.38,-1.7,-1.54,-0.96,0.49,0.78,1.18,0.02
Book Value Per Share,-0.40,-0.34,-0.39,-0.50,-0.62,-0.60,0.14,0.14,0.00
