Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31
Cash & Equivalents,0.82,0.99,1.11,0.02
Cash & Cash Equivalents,0.82,0.99,1.11,0.02
Other Current Assets,0.09,0.13,0.15,0
Total Current Assets,0.91,1.12,1.26,0.02
Long-Term Investments,85.37,84.65,84.26,0
Other Long-Term Assets,0,0,0,0.43
Total Long-Term Assets,85.37,84.65,84.27,0.43
Total Assets,86.28,85.76,85.53,0.44
Accounts Payable,1.29,0.09,0.16,0.35
Current Debt,0,0,0,0.08
Total Current Liabilities,1.29,0.09,0.16,0.43
Other Long-Term Liabilities,2.89,2.89,2.89,0
Total Long-Term Liabilities,2.89,2.89,2.89,0
Total Liabilities,4.18,2.98,3.05,0.43
Total Debt,0,0,0,0.08
Common Stock,0,0,0,0.03
Retained Earnings,-3.27,-1.86,-1.67,-0.01
Shareholders' Equity,-3.27,-1.86,-1.67,0.01
Total Liabilities and Equity,0.91,1.12,1.38,0.44
Net Cash / Debt,0.82,0.99,1.11,-0.06
Net Cash Per Share,0.10,0.09,0.11,-0.05
Working Capital,-0.38,1.03,1.1,-0.41
Book Value Per Share,-0.39,-0.17,-0.17,0.01
