Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,104.39,103.95,103.21,102.8,103.22,0,0.01,-,0.03
Cash & Cash Equivalents,104.39,103.95,103.21,102.8,103.22,0,0.01,0,0.03
Cash Growth,1.14%,8884841.54%,1598801.81%,-,412777.26%,-,-,-,-
Other Current Assets,-103.87,-103.22,-102.39,-101.75,-102,0,-,-,-
Total Current Assets,0.52,0.73,0.82,1.04,1.22,0,-,-,-
Other Long-Term Assets,104.11,103.46,102.7,102.13,102.05,0.32,-,-,-
Total Long-Term Assets,104.11,103.46,102.7,102.13,102.05,0.32,-,-,-
Total Assets,104.64,104.19,103.52,103.18,103.27,0.32,0.24,-,0.08
Accounts Payable,0.07,0,0,0.02,0.02,0.24,0.17,-,0.02
Current Debt,0,0,0,0,0,0.04,0.03,-,0
Other Current Liabilities,0.56,0.63,0.38,0.15,0.73,0.03,0.02,-,0.03
Total Current Liabilities,0.63,0.63,0.38,0.17,0.75,0.3,0.21,-,0.05
Total Liabilities,0.63,0.63,0.38,0.17,0.75,0.3,0.21,-,0.05
Total Debt,0,0,0,0,0,0.04,0.03,-,0
Common Stock,1,1,1,1,103,0.03,0.03,-,0.03
Retained Earnings,-0.62,-0.36,-0.18,-0.02,-0.48,-0,-0,-,-0
Shareholders' Equity,0.38,0.64,0.82,0.98,102.52,0.02,0.02,-,0.02
Total Liabilities and Equity,1.01,1.27,1.2,1.14,103.27,0.32,0.24,-,0.08
Net Cash / Debt,104.39,103.95,103.21,102.8,103.22,-0.03,-0.02,0,0.03
Net Cash / Debt Growth,1.14%,-,-,-,412777.26%,-,-,-,-
Net Cash Per Share,8.35,8.31,8.26,8.22,13.86,-0.01,-0.01,-,-
Working Capital,-0.1,0.1,0.44,0.88,0.47,-0.3,-,-,-
Book Value Per Share,0.03,0.05,0.07,0.08,13.77,0.01,0.01,-,-
