Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Cash & Equivalents,0.92,1.06,1.12,1.18,0,0
Short-Term Investments,208.55,206.36,0,0,0,0
Cash & Cash Equivalents,209.47,207.42,1.12,1.18,0,0
Other Current Assets,0.07,0.08,0.17,0.25,0,0.14
Total Current Assets,209.54,207.5,1.28,1.43,0,0.14
Long-Term Investments,0,0,204.64,203.72,0,0
Other Long-Term Assets,0,0,0,0,0.25,0
Total Long-Term Assets,0,0,204.64,203.72,0.25,0
Total Assets,209.54,207.5,205.92,205.15,0.25,0.14
Accounts Payable,0.06,0.02,0.02,0.05,0,0
Current Debt,0,0,0,0,0.22,0.12
Other Current Liabilities,7,7,0,0,0,0
Total Current Liabilities,7.06,7.02,0.02,0.05,0.23,0.12
Other Long-Term Liabilities,0,0,7,7,0,0
Total Long-Term Liabilities,0,0,7,7,0,0
Total Liabilities,7.06,7.02,7.02,7.05,0.23,0.12
Total Debt,0,0,0,0,0.22,0.12
Common Stock,0,0,0,0,0.03,0.03
Retained Earnings,-6.06,-5.87,-5.74,-5.62,-0,-0
Shareholders' Equity,-6.06,-5.87,-5.74,-5.62,0.02,0.02
Total Liabilities and Equity,1,1.15,1.28,1.43,0.25,0.14
Net Cash / Debt,209.47,207.42,1.12,1.18,-0.22,-0.12
Net Cash Per Share,8.28,11.26,0.04,0.07,-0.04,-0.02
Working Capital,202.49,200.48,1.26,1.38,-0.23,0.02
Book Value Per Share,-0.24,-0.32,-0.23,-0.32,0.00,0.00
