Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2020-12-31
Cash & Equivalents,0.23,0.52,0.77,0.81,0.96,0,0
Cash & Cash Equivalents,0.23,0.52,0.77,0.81,0.96,0,0
Cash Growth,-76.06%,-,-,-,-,-,-
Other Current Assets,0.18,0.22,0.27,0.33,0.38,0,0
Total Current Assets,0.41,0.75,1.05,1.14,1.34,0,0
Long-Term Investments,84.19,83.69,83,82.62,82.53,0,0
Total Long-Term Assets,84.19,83.69,83,82.62,82.53,0,0
Total Assets,84.6,84.44,84.04,83.77,83.87,0,0
Accounts Payable,0.8,0.3,0.07,0.07,0.08,0,0
Other Current Liabilities,0.19,0.38,0,0,0,0,0
Total Current Liabilities,0.99,0.68,0.07,0.07,0.08,0,0
Total Liabilities,0.99,0.68,0.07,0.07,0.08,0,0
Common Stock,0,0.19,0.89,1.26,1.36,0,0
Retained Earnings,-0.58,-0.13,0.09,-0.19,-0.1,-0,-0
Shareholders' Equity,-0.58,0.06,0.97,1.07,1.26,-0,-0
Total Liabilities and Equity,0.41,0.75,1.05,1.14,1.34,-,-
Net Cash / Debt,0.23,0.52,0.77,0.81,0.96,0,0
Net Cash / Debt Growth,-76.06%,-,-,-,-,-,-
Net Cash Per Share,0.02,0.05,0.08,0.08,0.21,-,-
Working Capital,-0.58,0.06,0.97,1.07,1.26,-0,-0
Book Value Per Share,-0.06,0.01,0.10,0.10,0.27,-,-
