Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-02-10
Cash & Equivalents,0.5,1.08,1.18,1.32,1.53,1.73,0.03,-,0
Cash & Cash Equivalents,0.5,1.08,1.18,1.32,1.53,1.73,0.03,0,0
Cash Growth,-67.55%,-37.87%,3512.12%,-,-,-,-,-,-
Other Current Assets,0.32,0.33,0.46,0.6,0.69,0.71,0,-,0
Total Current Assets,0.81,1.4,1.64,1.92,2.22,2.44,0.03,-,0
Long-Term Investments,240.47,237.95,235.99,234.95,234.64,234.63,0,-,0
Other Long-Term Assets,0,0,0,0,0,0,0.56,-,0.03
Total Long-Term Assets,240.47,237.95,235.99,234.95,234.64,234.63,0.56,-,0.03
Total Assets,241.28,239.35,237.63,236.87,236.86,237.07,0.59,-,0.03
Accounts Payable,0.02,0,0,0,0.05,0,0,-,0
Current Debt,0,0,0,0,0,0,0.24,-,0
Other Current Liabilities,2.08,1.43,0.77,0.63,0.51,0.35,0.34,-,0
Total Current Liabilities,2.09,1.43,0.77,0.63,0.55,0.36,0.58,-,0
Other Long-Term Liabilities,8.05,8.05,8.05,8.05,8.05,8.05,0,-,0
Total Long-Term Liabilities,8.05,8.05,8.05,8.05,8.05,8.05,0,-,0
Total Liabilities,10.14,9.48,8.82,8.68,8.6,8.41,0.58,-,0
Total Debt,0,0,0,0,0,0,0.24,-,0
Common Stock,0,0,0,0,0,0,0.01,-,0.01
Retained Earnings,-9.25,-8,-7.1,-6.68,-6.31,-5.89,-0.01,-,-0
Shareholders' Equity,-9.25,-8,-7.1,-6.68,-6.31,-5.89,0,-,0.01
Total Liabilities and Equity,0.89,1.48,1.72,2,2.3,2.52,0.59,-,0.01
Net Cash / Debt,0.5,1.08,1.18,1.32,1.53,1.73,-0.21,0,0
Net Cash / Debt Growth,-67.55%,-37.87%,-,-,-,-,-,-,-
Net Cash Per Share,0.02,0.04,0.04,0.05,0.05,0.24,-0.04,-,-
Working Capital,-1.28,-0.03,0.87,1.29,1.66,2.08,-0.55,-,-0
Book Value Per Share,-0.32,-0.28,-0.25,-0.23,-0.22,-0.81,0.00,-,-
