Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-02-17
Cash & Equivalents,0.49,0.6,0.74,0.92,1.86,3.28,0,0.03
Cash & Cash Equivalents,0.49,0.6,0.74,0.92,1.86,3.28,0,0.03
Cash Growth,-73.69%,-81.61%,28966.09%,3564.92%,-,-,-,-
Other Current Assets,0.37,0.51,0.62,0.75,0.87,1.02,0,0
Total Current Assets,0.86,1.11,1.36,1.66,2.74,4.29,0,0.03
Long-Term Investments,202.49,201.09,200.29,200.02,200,200,0,0
Other Long-Term Assets,0,0,0,0,0,0,0.46,0.01
Total Long-Term Assets,202.49,201.09,200.29,200.02,200,200,0.46,0.01
Total Assets,203.35,202.2,201.66,201.69,202.74,204.29,0.46,0.04
Accounts Payable,0.03,0.02,0.14,0.14,0.12,1.14,0.01,0
Current Debt,0,0,0,0,0,0,0.09,0
Other Current Liabilities,0.42,0.32,0.14,0.05,0.67,0.39,0.42,0.01
Total Current Liabilities,0.46,0.34,0.29,0.19,0.78,1.53,0.52,0.01
Other Long-Term Liabilities,7.88,7.86,7.83,7.79,6.45,6.45,0,0
Total Long-Term Liabilities,7.88,7.86,7.83,7.79,6.45,6.45,0,0
Total Liabilities,8.33,8.2,8.12,7.99,7.23,7.98,0.52,0.01
Total Debt,0,0,0,0,0,0,0.09,0
Common Stock,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-6.95,-6.67,-6.51,-6.3,-4.49,-3.69,-0.08,-0
Shareholders' Equity,-6.95,-6.67,-6.51,-6.3,-4.49,-3.69,-0.05,0.02
Total Liabilities and Equity,1.39,1.53,1.61,1.69,2.74,4.29,0.46,0.04
Net Cash / Debt,0.49,0.6,0.74,0.92,1.86,3.28,-0.09,0.03
Net Cash / Debt Growth,-73.69%,-81.61%,-,3564.92%,-,-,-,-
Net Cash Per Share,0.02,0.02,0.03,0.04,0.17,0.56,-0.02,-
Working Capital,0.41,0.78,1.08,1.47,1.95,2.76,-0.52,0.01
Book Value Per Share,-0.28,-0.27,-0.26,-0.25,-0.41,-0.63,-0.01,-
