Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,1.79,0.2,0.27,0.28,0.46,0.84,0.92,1.91,0.01
Cash & Cash Equivalents,1.79,0.2,0.27,0.28,0.46,0.84,0.92,1.91,0.01
Cash Growth,291.32%,-76.78%,-71.15%,-85.24%,7313.46%,-,-,-,-
Other Current Assets,0.14,0.18,0.3,0.43,0.42,0.42,0.71,0.23,-
Total Current Assets,1.93,0.37,0.57,0.71,0.88,1.27,1.64,2.13,-
Long-Term Investments,174.4,174.95,173.51,172.74,172.52,172.51,172.5,150,-
Other Long-Term Assets,0,0,0,0,0.07,0.18,0,-0.2,-
Total Long-Term Assets,174.4,174.95,173.51,172.74,172.59,172.68,172.5,149.8,-
Total Assets,176.33,175.32,174.07,173.45,173.47,173.95,174.14,151.93,0.31
Current Debt,0,0,0,0,0,0,0,0.05,0
Other Current Liabilities,2.28,1.11,0.53,0.3,0.28,0.48,0.24,15.86,0.28
Total Current Liabilities,2.28,1.11,0.53,0.3,0.28,0.48,0.24,15.91,0.28
Other Long-Term Liabilities,8.56,7.07,7.3,7.27,9.25,12.12,12.51,0,0
Total Long-Term Liabilities,8.56,7.07,7.3,7.27,9.25,12.12,12.51,0,0
Total Liabilities,10.83,8.18,7.83,7.58,9.54,12.6,12.74,15.91,0.28
Total Debt,0,0,0,0,0,0,0,0.05,0
Common Stock,0,0,0,0,0,0,0,5.99,0.03
Retained Earnings,-7.88,-5.89,-6.79,-6.62,-8.57,-11.15,-11.1,-0.99,-0
Shareholders' Equity,-7.88,-5.89,-6.79,-6.62,-8.57,-11.15,-11.1,5,0.02
Total Liabilities and Equity,2.96,2.29,1.04,0.95,0.97,1.45,1.64,20.91,0.31
Net Cash / Debt,1.79,0.2,0.27,0.28,0.46,0.84,0.92,1.86,0.01
Net Cash / Debt Growth,291.32%,-76.78%,-71.15%,-84.87%,7313.46%,-,-,-,-
Net Cash Per Share,0.08,0.01,0.01,0.01,0.02,0.06,0.04,0.32,0.00
Working Capital,-0.35,-0.74,0.03,0.41,0.6,0.79,1.4,-13.78,-
Book Value Per Share,-0.36,-0.27,-0.32,-0.31,-0.40,-0.75,-0.52,0.85,0.01
