Metrics,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.02,0,0.21,0.37,0.18,-,-,0.3
Cash & Cash Equivalents,0.02,0,0.21,0.37,0.18,0,0,0.3
Cash Growth,-87.21%,-,-,23.24%,-,-,-,-
Other Current Assets,0.23,0.41,0.63,0.83,-,-,-,0.17
Total Current Assets,0.26,0.41,0.84,1.19,-,-,-,0.47
Long-Term Investments,101.63,101.19,101.06,101.05,-,-,-,0
Total Long-Term Assets,101.63,101.19,101.06,101.05,-,-,-,0
Total Assets,101.89,101.6,101.9,102.24,0.48,-,-,0.47
Accounts Payable,0.19,0.07,0.16,0.07,0,-,-,0
Current Debt,0,0,0,0,0.46,-,-,0
Other Current Liabilities,0.47,0.33,0.25,0.2,0,-,-,0
Total Current Liabilities,0.66,0.4,0.41,0.27,0.46,-,-,0
Long-Term Debt,0.66,0.45,0.45,0.45,0,-,-,0.45
Other Long-Term Liabilities,0.54,0.88,1.81,9.34,0,-,-,0
Total Long-Term Liabilities,1.19,1.33,2.26,9.79,0,-,-,0.45
Total Liabilities,1.85,1.73,2.67,10.06,0.46,-,-,0.45
Total Debt,0.66,0.45,0.45,0.45,0.46,-,-,0.45
Debt Growth,43.96%,-,-,-,-,-,-,-
Common Stock,-10.26,-10.26,-10.26,-10.26,0.03,-,-,0.03
Retained Earnings,9.25,9.07,8.44,1.39,-0.01,-,-,-0.01
Shareholders' Equity,-1.01,-1.19,-1.82,-8.87,0.02,-,-,0.02
Total Liabilities and Equity,0.84,0.55,0.85,1.19,0.48,-,-,0.47
Net Cash / Debt,-0.63,-0.45,-0.24,-0.08,-0.27,0,0,-0.15
Working Capital,-0.41,0.01,0.43,0.92,-,-,-,0.47
Book Value Per Share,-0.08,-0.09,-0.14,-2.95,0.01,-,-,-
