Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.02,0.48,0.62,0.93,1.54,0.03
Cash & Cash Equivalents,0.02,0.48,0.62,0.93,1.54,0.03
Cash Growth,-98.56%,1813.74%,-,-,-,-
Other Current Assets,0.19,0.25,0.3,0.26,0.33,-
Total Current Assets,0.21,0.73,0.93,1.19,1.87,-
Long-Term Investments,295.8,293.55,292.24,291.84,291.81,-
Other Long-Term Assets,0,0.03,0.08,0.14,0.06,-
Total Long-Term Assets,295.8,293.59,292.32,291.98,291.88,-
Total Assets,296.01,294.32,293.25,293.18,293.74,0.19
Accounts Payable,0,0,0,0.01,0.01,0
Current Debt,0,0,0,0.09,0.14,0.1
Other Current Liabilities,1.3,0.62,0.21,0.14,0.55,0.07
Total Current Liabilities,1.3,0.62,0.21,0.23,0.7,0.17
Other Long-Term Liabilities,10.06,10.06,10.06,10.06,10.06,0
Total Long-Term Liabilities,10.06,10.06,10.06,10.06,10.06,0
Total Liabilities,11.36,10.69,10.27,10.29,10.76,0.17
Total Debt,0,0,0,0.09,0.14,0.1
Common Stock,0,0,0,0,0,0.03
Retained Earnings,-10.15,-9.42,-9.14,-8.93,-8.83,-0
Shareholders' Equity,-10.14,-9.42,-9.14,-8.93,-8.83,0.02
Total Liabilities and Equity,1.21,1.27,1.13,1.36,1.93,0.19
Net Cash / Debt,0.02,0.48,0.62,0.84,1.39,-0.07
Net Cash / Debt Growth,-98.41%,-,-,-,-,-
Net Cash Per Share,0.00,0.01,0.02,0.02,0.14,-0.01
Working Capital,-1.09,0.11,0.72,0.96,1.17,-
Book Value Per Share,-0.26,-0.24,-0.23,-0.23,-0.89,0.00
