Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-07
Cash & Equivalents,0.18,0.08,0.13,0.12,0.24,0.33,0.02,0.02
Cash & Cash Equivalents,0.18,0.08,0.13,0.12,0.24,0.33,0.02,0.02
Cash Growth,-26.97%,-75.65%,466.66%,413.06%,-,-,-,-
Other Current Assets,0,0,0.04,0.24,0.43,0.63,0,0
Total Current Assets,0.18,0.08,0.18,0.36,0.67,0.96,0.02,0.02
Long-Term Investments,9.84,9.67,80.04,80,80,80,0,0
Other Long-Term Assets,0,0,0,0,0,0,0.08,0.05
Total Long-Term Assets,9.84,9.67,80.04,80,80,80,0.08,0.05
Total Assets,10.01,9.75,80.22,80.36,80.68,80.96,0.11,0.07
Current Debt,0.66,0.36,0.15,0,0,0,0.13,0.05
Other Current Liabilities,0.36,0.45,0.49,0.82,0.07,1.63,0,0
Total Current Liabilities,1.02,0.81,0.64,0.82,0.07,1.63,0.13,0.05
Other Long-Term Liabilities,1.4,0,0,0,1.67,0,0,0
Total Long-Term Liabilities,1.4,0,0,0,1.67,0,0,0
Total Liabilities,2.42,0.81,0.64,0.82,1.74,1.63,0.13,0.05
Total Debt,0.66,0.36,0.15,0,0,0,0.13,0.05
Debt Growth,-,-,15.74%,-,-,-,-,-
Common Stock,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-2.15,-0.63,-0.42,-0.46,-1.06,-0.67,-0.05,-0
Shareholders' Equity,-2.15,-0.63,-0.42,-0.46,-1.06,-0.67,-0.02,0.02
Total Liabilities and Equity,0.28,0.18,0.22,0.36,0.68,0.96,0.11,0.07
Net Cash / Debt,-0.49,-0.28,-0.02,0.12,0.24,0.33,-0.11,-0.02
Net Cash Per Share,-0.07,-0.07,-0.00,0.01,0.04,0.04,-0.05,-0.01
Working Capital,-0.84,-0.73,-0.46,-0.46,0.6,-0.68,-0.11,-0.02
Book Value Per Share,-0.32,-0.15,-0.04,-0.05,-0.17,-0.08,-0.01,0.01
