Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.1,0.25,0.39,0.53,0.84,0.97,1.26,1.41,0.02
Cash & Cash Equivalents,0.1,0.25,0.39,0.53,0.84,0.97,1.26,1.41,0.02
Cash Growth,-88.00%,-74.51%,-69.15%,-62.50%,4110.00%,-,-,-,-
Other Current Assets,0.01,0.07,0.13,0.19,0.18,0.26,0.32,0.39,0.21
Total Current Assets,0.11,0.32,0.52,0.72,1.03,1.23,1.58,1.8,0.23
Long-Term Investments,304.68,302.02,300.55,300.1,300.08,300.07,300.06,300.05,0
Total Long-Term Assets,304.68,302.02,300.55,300.1,300.08,300.07,300.06,300.05,0
Total Assets,304.78,302.34,301.07,300.82,301.1,301.29,301.64,301.84,0.23
Accounts Payable,0.08,0.4,0.02,0.03,0.14,0,0.11,0.01,0.01
Current Debt,0.79,0.4,0,0,0,0,0,0,0.2
Other Current Liabilities,3.02,3.04,2.81,2.67,2.67,2.75,2.01,0.2,0
Total Current Liabilities,3.88,3.83,2.82,2.69,2.81,2.75,2.12,0.2,0.21
Other Long-Term Liabilities,10.97,11.43,13.3,16.57,23.42,24.2,26.69,26.85,0
Total Long-Term Liabilities,10.97,11.43,13.3,16.57,23.42,24.2,26.69,26.85,0
Total Liabilities,14.84,15.26,16.12,19.27,26.23,26.95,28.81,27.05,0.21
Total Debt,0.79,0.4,0,0,0,0,0,0,0.2
Common Stock,0,0,0,0,0,0,2.34,0.38,0.03
Retained Earnings,-14.74,-14.95,-15.61,-18.45,-25.13,-25.66,2.66,4.63,-0.01
Shareholders' Equity,-14.73,-14.95,-15.61,-18.45,-25.13,-25.66,5,5,0.02
Total Liabilities and Equity,0.11,0.32,0.52,0.82,1.1,1.29,33.81,32.05,0.23
Net Cash / Debt,-0.68,-0.15,0.39,0.53,0.84,0.97,1.26,1.41,-0.18
Net Cash / Debt Growth,-,-,-69.15%,-62.50%,-,-,-,-,-
Net Cash Per Share,-0.02,-0.01,0.01,0.02,0.03,0.03,0.04,0.06,-0.02
Working Capital,-3.77,-3.51,-2.3,-1.98,-1.78,-1.53,-0.54,1.6,0.02
Book Value Per Share,-0.49,-0.50,-0.52,-0.61,-0.89,-0.85,0.17,0.20,0.00
