Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.15,0.27,0.13,0.44,0.85,0.94,1.05,1.17,0
Cash & Cash Equivalents,0.15,0.27,0.13,0.44,0.85,0.94,1.05,1.17,0
Cash Growth,-81.74%,-71.79%,-87.63%,-62.34%,-,-,-,-,-
Other Current Assets,0.04,0.11,0.18,0.2,0.21,0.21,0.36,0.42,0.04
Total Current Assets,0.2,0.38,0.31,0.64,1.05,1.15,1.41,1.58,0.04
Long-Term Investments,354.61,351.79,350.5,350.06,350.03,350.02,350.01,350,0
Other Long-Term Assets,0,0,0,0,0.04,0.09,0,0,0
Total Long-Term Assets,354.61,351.79,350.5,350.06,350.07,350.11,350.01,350,0
Total Assets,354.81,352.16,350.82,350.69,351.12,351.26,351.42,351.58,0.04
Accounts Payable,0.07,0.01,0.06,0.24,0.18,0.15,0.08,0.05,0.01
Current Debt,0,0,0,0,0,0,0,0,0.01
Other Current Liabilities,0.76,0.26,0.05,0.05,0.16,0.15,0,0,0
Total Current Liabilities,0.83,0.26,0.11,0.29,0.34,0.3,0.08,0.05,0.02
Other Long-Term Liabilities,18.96,13.43,19.42,22.61,25.29,27.18,31.85,34.43,0
Total Long-Term Liabilities,18.96,13.43,19.42,22.61,25.29,27.18,31.85,34.43,0
Total Liabilities,19.8,13.69,19.53,22.9,25.63,27.47,31.93,34.48,0.02
Total Debt,0,0,0,0,0,0,0,0,0.01
Common Stock,0,0,0,0,0,0,3.16,5.56,0.03
Retained Earnings,-18.8,-13.06,-18.94,-22.21,-24.51,-26.21,1.84,-0.56,-0
Shareholders' Equity,-18.8,-13.06,-18.94,-22.21,-24.51,-26.21,5,5,0.02
Total Liabilities and Equity,0.99,0.63,0.59,0.69,1.12,1.26,36.93,39.48,0.04
Net Cash / Debt,0.15,0.27,0.13,0.44,0.85,0.94,1.05,1.17,-0.01
Net Cash / Debt Growth,-81.74%,-71.79%,-87.63%,-62.34%,-,-,-,-,-
Net Cash Per Share,0.00,0.01,0.00,0.01,0.02,0.02,0.02,0.07,-0.00
Working Capital,-0.64,0.11,0.2,0.35,0.71,0.86,1.33,1.53,0.02
Book Value Per Share,-0.43,-0.30,-0.43,-0.51,-0.55,-0.60,0.11,0.30,0.00
