Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.07,0.04,0.12,0.26,0.46,0.07,-
Short-Term Investments,43.3,71.04,70.45,70.13,70.04,0,-
Cash & Cash Equivalents,43.37,71.09,70.57,70.4,70.5,0.07,0
Cash Growth,-38.47%,107952.96%,-,-,-,-,-
Other Current Assets,0.05,0.01,0.03,0.04,0,0.22,-
Total Current Assets,43.43,71.1,70.59,70.44,70.5,0.29,-
Total Assets,43.43,71.1,70.59,70.44,70.5,0.29,-
Current Debt,0.45,0,0,0,0,0.3,-
Other Current Liabilities,2.75,2.74,2.52,2.44,2.44,0.05,-
Total Current Liabilities,3.2,2.74,2.52,2.44,2.44,0.35,-
Total Liabilities,3.2,2.74,2.52,2.44,2.44,0.35,-
Total Debt,0.45,0,0,0,0,0.3,-
Common Stock,0,0,0,0,0,0.03,-
Retained Earnings,-3.08,-2.69,-2.38,-2.14,-1.98,-0.09,-
Shareholders' Equity,-3.08,-2.69,-2.38,-2.14,-1.98,-0.06,-
Total Liabilities and Equity,0.13,0.05,0.14,0.3,0.46,0.29,-
Net Cash / Debt,42.92,71.09,70.57,70.4,70.5,-0.23,0
Net Cash / Debt Growth,-39.11%,-,-,-,-,-,-
Net Cash Per Share,5.09,7.91,7.72,7.70,20.40,-0.16,-
Working Capital,40.22,68.36,68.07,68,68.05,-0.06,-
Book Value Per Share,-0.36,-0.30,-0.26,-0.23,-0.57,-0.04,-
