Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,0.09,0.17,0.29,0.44,0.67,0.7,0,0
Cash & Cash Equivalents,0.09,0.17,0.29,0.44,0.67,0.7,0,0
Cash Growth,-86.08%,-75.61%,-,-,-,-,-,-
Other Current Assets,0.18,0.27,0.35,0.37,0.32,0.58,-,-
Total Current Assets,0.27,0.44,0.65,0.81,0.99,1.28,-,-
Long-Term Investments,205.93,203.21,202.3,202.03,202.01,202,-,-
Other Long-Term Assets,0,0,0.01,0.1,0.18,0,-,-
Total Long-Term Assets,205.93,203.21,202.31,202.12,202.18,202,-,-
Total Assets,206.2,203.65,202.96,202.93,203.18,203.29,0.22,0.15
Accounts Payable,0.81,0.38,0.31,0.4,0.34,0.26,0.09,0.08
Current Debt,1,0,0,0,0,0,0,0
Other Current Liabilities,0,0,0,0,0,-0,0.12,0.06
Total Current Liabilities,1.81,0.38,0.31,0.4,0.34,0.26,0.2,0.13
Other Long-Term Liabilities,9.54,9.8,10.42,14.54,17.99,18.43,0,0
Total Long-Term Liabilities,9.54,9.8,10.42,14.54,17.99,18.43,0,0
Total Liabilities,11.35,10.18,10.73,14.94,18.33,18.69,0.2,0.13
Total Debt,1,0,0,0,0,0,0,0
Common Stock,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-11.08,-9.74,-10.06,-14.04,-17.16,-17.41,-0.01,-0.01
Shareholders' Equity,-11.08,-9.74,-10.06,-14.04,-17.16,-17.41,0.02,0.02
Total Liabilities and Equity,0.27,0.44,0.66,0.9,1.17,1.28,0.22,0.15
Net Cash / Debt,-0.91,0.17,0.29,0.44,0.67,0.7,0,0
Net Cash / Debt Growth,-,-75.61%,-,-,-,-,-,-
Net Cash Per Share,-0.04,0.01,0.01,0.02,0.05,0.03,-,-
Working Capital,-1.54,0.06,0.34,0.41,0.65,1.03,-,-
Book Value Per Share,-0.44,-0.39,-0.40,-0.56,-1.15,-0.84,0.00,0.00
