Metrics,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-25
Cash & Equivalents,107.26,107.15,107.34,107.8,108.11,0.01,0.04,0.05
Cash & Cash Equivalents,107.26,107.15,107.34,107.8,108.11,0.01,0.04,0.05
Cash Growth,-0.79%,867705.18%,264646.46%,215496.44%,-,-,-,-
Other Current Assets,-107.08,-106.8,-106.62,-106.6,-106.59,0,0,0
Total Current Assets,0.18,0.34,0.72,1.2,1.53,0.01,0.04,0.05
Other Long-Term Assets,107.24,107.08,107.03,107.07,107.17,0.47,0.44,0.06
Total Long-Term Assets,107.24,107.08,107.03,107.07,107.17,0.47,0.44,0.06
Total Assets,107.42,107.42,107.75,108.26,108.69,0.48,0.48,0.11
Accounts Payable,0.06,0.09,0.14,0.26,0.02,0,0,0
Current Debt,0,0,0,0,0,0.24,0.25,0.03
Other Current Liabilities,0,0,0,0,0.28,0.21,0.2,0.06
Total Current Liabilities,0.06,0.09,0.14,0.26,0.29,0.45,0.45,0.09
Other Long-Term Liabilities,3.67,3.67,3.67,3.67,3.67,0,0,0
Total Long-Term Liabilities,3.67,3.67,3.67,3.67,3.67,0,0,0
Total Liabilities,3.73,3.77,3.81,3.94,3.97,0.45,0.45,0.09
Total Debt,0,0,0,0,0,0.24,0.25,0.03
Common Stock,0,0,0,0,0,0.03,0.03,0.03
Retained Earnings,-3.43,-3.37,-3.09,-2.7,-2.3,-0,-0,-0
Shareholders' Equity,-3.43,-3.37,-3.09,-2.7,-2.3,0.02,0.02,0.02
Total Liabilities and Equity,0.3,0.4,0.73,1.24,1.67,0.48,0.48,0.11
Net Cash / Debt,107.26,107.15,107.34,107.8,108.11,-0.23,-0.21,0.03
Net Cash / Debt Growth,-0.79%,-,-,431092.89%,-,-,-,-
Net Cash Per Share,8.05,8.04,8.06,15.21,12.46,-0.09,-0.08,-
Working Capital,0.13,0.25,0.58,0.93,1.23,-0.44,-0.41,-0.04
Book Value Per Share,-0.26,-0.25,-0.23,-0.38,-0.27,0.01,0.01,-
