Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-25
Cash & Equivalents,0.04,0.25,0.15,0.19,0.25,0.67,0.72,0.03
Cash & Cash Equivalents,0.04,0.25,0.15,0.19,0.25,0.67,0.72,0.03
Cash Growth,-85.65%,-62.66%,-79.49%,661.35%,-,-,-,-
Other Current Assets,0.11,0.16,0.28,0.41,0.16,0.41,0.55,0
Total Current Assets,0.15,0.41,0.43,0.6,0.41,1.08,1.27,0.03
Long-Term Investments,28.22,278.78,276.66,275.5,278.78,275.11,250,0
Other Long-Term Assets,0,0,0,0,0,0.25,0.25,0.12
Total Long-Term Assets,28.22,278.78,276.66,275.5,278.78,275.36,250.25,0.12
Total Assets,28.37,279.2,277.08,276.1,279.2,276.44,251.52,0.14
Accounts Payable,0.1,0.08,0.02,0.01,0.08,0.04,0,0
Current Debt,0,0,0,0,0,0,0,0.02
Other Current Liabilities,2.25,1.39,0.72,0.36,1.39,0.17,0.15,0.11
Total Current Liabilities,2.35,1.47,0.74,0.37,1.47,0.21,0.15,0.12
Other Long-Term Liabilities,9.69,10.48,10.69,12.6,10.48,19.91,27.81,0
Total Long-Term Liabilities,9.69,10.48,10.69,12.6,10.48,19.91,27.81,0
Total Liabilities,12.04,11.95,11.43,12.98,11.95,20.12,27.96,0.12
Total Debt,0,0,0,0,0,0,0,0.02
Common Stock,0,0,0,0,0,0,0,0.03
Retained Earnings,-5.42,-7.85,-9.45,-11.98,-7.85,-18.78,-26.44,-0
Shareholders' Equity,-5.42,-7.85,-9.45,-11.98,-7.85,-18.78,-26.44,0.02
Total Liabilities and Equity,6.62,4.1,1.98,1,4.1,1.34,1.52,0.14
Net Cash / Debt,0.04,0.25,0.15,0.19,0.25,0.67,0.72,0.01
Net Cash / Debt Growth,-85.65%,-62.66%,-79.49%,1803.38%,-,-,-,-
Net Cash Per Share,0.00,0.01,0.00,0.01,0.01,0.04,0.09,0.00
Working Capital,-2.2,-1.06,-0.31,0.22,-1.06,0.87,1.11,-0.1
Book Value Per Share,-0.16,-0.23,-0.28,-0.35,-0.23,-1.05,-3.27,0.00
