Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Cash & Equivalents,0.52,0.44,0.79,0.9,1.2
Cash & Cash Equivalents,0.52,0.44,0.79,0.9,1.2
Cash Growth,-56.45%,-,-,-,-
Other Current Assets,-0.19,0.01,0.14,0.26,0.33
Total Current Assets,0.33,0.45,0.93,1.16,1.53
Long-Term Investments,79.65,78.51,77.39,77.28,75
Other Long-Term Assets,0.21,0,0,0,0
Total Long-Term Assets,79.86,78.51,77.39,77.28,75
Total Assets,80.19,78.96,78.32,78.45,76.53
Accounts Payable,2.02,0.93,0.34,0.23,0.08
Current Debt,1.55,0.77,0,0,0
Other Current Liabilities,0.34,0.18,0.08,0.11,0.06
Total Current Liabilities,3.91,1.88,0.43,0.35,0.14
Other Long-Term Liabilities,2.7,2.7,2.7,2.7,2.63
Total Long-Term Liabilities,2.7,2.7,2.7,2.7,2.63
Total Liabilities,6.62,4.59,3.13,3.05,2.77
Total Debt,1.55,0.77,0,0,0
Common Stock,0,0,0,0,0
Retained Earnings,-5.94,-3.89,-2.09,-1.88,-1.23
Shareholders' Equity,-5.94,-3.89,-2.09,-1.88,-1.23
Total Liabilities and Equity,0.68,0.7,1.04,1.17,1.53
Net Cash / Debt,-1.02,-0.34,0.79,0.9,1.2
Net Cash Per Share,-0.09,-0.03,0.08,0.09,0.67
Working Capital,-3.58,-1.43,0.5,0.82,1.39
Book Value Per Share,-2.60,-1.75,-0.94,-0.92,-0.69
