Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-02-08
Cash & Equivalents,0.39,0.31,0.42,0.8,1.01,0,-,0
Cash & Cash Equivalents,0.39,0.31,0.42,0.8,1.01,0,0,0
Cash Growth,-60.81%,-,-,-,-,-,-,-
Other Current Assets,0.11,0.18,0.25,0.3,0.2,-,-,-
Total Current Assets,0.51,0.49,0.67,1.1,1.21,-,-,-
Long-Term Investments,222.23,220.38,219.42,219.26,219.2,-,-,-
Other Long-Term Assets,0,0,0,0.04,0.16,-,-,-
Total Long-Term Assets,222.23,220.38,219.42,219.31,219.37,-,-,-
Total Assets,222.74,220.87,220.09,220.4,220.57,0.66,-,0.23
Accounts Payable,0.29,0.74,0.64,0.85,0.51,0,-,0
Current Debt,0.5,0,0,0,0.04,0.03,-,0
Other Current Liabilities,0,0,0,0,0.03,0.62,-,0.21
Total Current Liabilities,0.79,0.74,0.64,0.85,0.58,0.65,-,0.21
Other Long-Term Liabilities,7.52,7.52,7.52,7.52,7.52,0,-,0
Total Long-Term Liabilities,7.52,7.52,7.52,7.52,7.52,0,-,0
Total Liabilities,8.31,8.26,8.16,8.37,8.1,0.65,-,0.21
Total Debt,0.5,0,0,0,0.04,0.03,-,0
Debt Growth,1086.07%,-,-,-,-,-,-,-
Common Stock,0,0,0,0,0,0.03,-,0.03
Retained Earnings,-7.8,-7.77,-7.49,-7.17,-6.72,-0.01,-,-0.01
Shareholders' Equity,-7.8,-7.77,-7.49,-7.16,-6.72,0.01,-,0.02
Total Liabilities and Equity,0.51,0.49,0.67,1.21,1.38,0.66,-,0.23
Net Cash / Debt,-0.11,0.31,0.42,0.8,0.96,-0.03,0,0
Net Cash Per Share,-0.00,0.01,0.02,0.03,0.13,-0.00,-,-
Working Capital,-0.28,-0.25,0.03,0.25,0.62,-,-,-
Book Value Per Share,-0.29,-0.29,-0.28,-0.27,-0.91,0.00,-,-
