Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-07
Cash & Equivalents,0.11,0.24,0.48,0.56,0.75,0,-,0
Cash & Cash Equivalents,0.11,0.24,0.48,0.56,0.75,0,0,0
Cash Growth,-85.22%,-,-,-,-,-,-,-
Other Current Assets,0.36,0.36,0.34,0.35,0.38,-,-,-
Total Current Assets,0.47,0.6,0.82,0.91,1.13,-,-,-
Long-Term Investments,258.68,256.52,255.36,255.02,255,-,-,-
Other Long-Term Assets,0,0.07,0.15,0.24,0.32,-,-,-
Total Long-Term Assets,258.68,256.59,255.52,255.26,255.32,-,-,-
Total Assets,259.15,257.19,256.34,256.17,256.45,0.44,-,0.06
Accounts Payable,0.04,0.03,0.17,0.03,0.08,0,-,0
Current Debt,0,0,0,0,0,0.13,-,0
Other Current Liabilities,0.46,0.45,0.42,0.4,0.35,0.29,-,0.04
Total Current Liabilities,0.5,0.48,0.59,0.43,0.43,0.42,-,0.04
Other Long-Term Liabilities,9.35,9.35,9.35,9.35,9.35,0,-,0
Total Long-Term Liabilities,9.35,9.35,9.35,9.35,9.35,0,-,0
Total Liabilities,9.85,9.83,9.94,9.78,9.78,0.42,-,0.04
Total Debt,0,0,0,0,0,0.13,-,0
Common Stock,0,0,0,0,0,0.03,-,0.03
Retained Earnings,-9.38,-9.16,-8.96,-8.63,-8.33,-0.01,-,-0.01
Shareholders' Equity,-9.38,-9.16,-8.96,-8.63,-8.33,0.02,-,0.02
Total Liabilities and Equity,0.47,0.67,0.97,1.15,1.45,0.44,-,0.06
Net Cash / Debt,0.11,0.24,0.48,0.56,0.75,-0.13,0,0
Net Cash / Debt Growth,-85.22%,-,-,-,-,-,-,-
Net Cash Per Share,0.00,0.01,0.01,0.02,0.08,-0.02,-,-
Working Capital,-0.03,0.12,0.23,0.48,0.7,-,-,-
Book Value Per Share,-0.27,-0.27,-0.26,-0.25,-0.88,0.00,-,-
