Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.54,0.79,0.52,0.23,0.47,0.77,0.86,0.87,1.62,0
Cash & Cash Equivalents,0.54,0.79,0.52,0.23,0.47,0.77,0.86,0.87,1.62,0
Cash Growth,16.30%,2.03%,-40.05%,-74.01%,-71.27%,-,-,-,-,-
Other Current Assets,0.2,0.15,0.11,0.2,0.24,0.31,0.4,0.5,0.16,0
Total Current Assets,0.75,0.94,0.63,0.43,0.71,1.08,1.26,1.37,1.78,0
Long-Term Investments,4.67,4.63,254.23,253.45,253.03,253.03,253.02,253.02,253.01,0
Other Long-Term Assets,0,0,0,0,0,0,0,0,0,0.16
Total Long-Term Assets,4.67,4.63,254.23,253.45,253.03,253.03,253.02,253.02,253.01,0.16
Total Assets,5.41,5.56,254.86,253.88,253.74,254.11,254.29,254.38,254.79,0.16
Accounts Payable,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0
Current Debt,0,0,0,0,0,0,0,0,0.15,0.04
Other Current Liabilities,3.95,3.61,3.33,3.01,3.01,2.92,1.32,0.23,0.22,0.1
Total Current Liabilities,3.97,3.62,3.34,3.02,3.03,2.94,1.33,0.24,0.37,0.14
Other Long-Term Liabilities,10.04,9.25,9.64,10.17,11.48,19,16.08,19.5,16.87,0
Total Long-Term Liabilities,10.04,9.25,9.64,10.17,11.48,19,16.08,19.5,16.87,0
Total Liabilities,14,12.87,12.99,13.19,14.51,21.93,17.42,19.74,17.24,0.14
Total Debt,0,0,0,0,0,0,0,0,0.15,0.04
Common Stock,0,0,0,0,0,0,0,4.68,1.78,0.03
Retained Earnings,-13.41,-12.1,-12.07,-12.41,-13.77,-20.83,-16.13,0.32,3.22,-0
Shareholders' Equity,-13.4,-12.1,-12.07,-12.41,-13.77,-20.82,-16.13,5,5,0.02
Total Liabilities and Equity,0.6,0.78,0.91,0.78,0.74,1.11,1.29,24.74,22.24,0.16
Net Cash / Debt,0.54,0.79,0.52,0.23,0.47,0.77,0.86,0.87,1.47,-0.04
Net Cash / Debt Growth,16.30%,2.03%,-40.05%,-74.01%,-68.36%,-,-,-,-,-
Net Cash Per Share,0.08,0.03,0.02,0.01,0.01,0.02,0.03,0.03,0.08,-0.01
Working Capital,-3.22,-2.69,-2.71,-2.59,-2.32,-1.85,-0.07,1.12,1.41,-0.14
Book Value Per Share,-1.98,-0.39,-0.38,-0.39,-0.43,-0.66,-0.51,0.16,0.28,0.01
