Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Cash & Equivalents,0.32,0.46,0.54,0.97,0.18
Cash & Cash Equivalents,0.32,0.46,0.54,0.97,0.18
Cash Growth,78.63%,-,-,-,-
Other Current Assets,0.52,0.64,0.77,0.87,0
Total Current Assets,0.84,1.1,1.31,1.84,0.18
Long-Term Investments,229.95,228.05,226.99,226.72,0
Other Long-Term Assets,0,0,0,0,0.46
Total Long-Term Assets,229.95,228.05,226.99,226.72,0.46
Total Assets,230.79,229.16,228.31,228.55,0.64
Current Debt,0,0,0.2,0.2,0.3
Other Current Liabilities,2.26,1.36,0.42,0.53,0.32
Total Current Liabilities,2.26,1.36,0.62,0.73,0.62
Other Long-Term Liabilities,8.11,8.11,8.11,8.11,0
Total Long-Term Liabilities,8.11,8.11,8.11,8.11,0
Total Liabilities,10.36,9.46,8.72,8.84,0.62
Total Debt,0,0,0.2,0.2,0.3
Common Stock,0,0,0,0,0.03
Retained Earnings,-9.52,-8.36,-7.41,-6.99,-0.01
Shareholders' Equity,-9.52,-8.36,-7.41,-6.99,0.02
Total Liabilities and Equity,0.84,1.1,1.31,1.85,0.64
Net Cash / Debt,0.32,0.46,0.35,0.77,-0.12
Net Cash Per Share,0.01,0.02,0.06,0.15,-
Working Capital,-1.42,-0.25,0.7,1.1,-0.44
Book Value Per Share,-0.35,-0.30,-1.35,-1.36,0.00
