Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-28
Cash & Equivalents,0.4,0.62,0.81,0.96,1.23,0,0,-,-,0
Cash & Cash Equivalents,0.4,0.62,0.81,0.96,1.23,0,0,0,0,0
Cash Growth,-67.64%,-,-,-,-,-,-,-,-,-
Other Current Assets,0.54,0.59,0.61,0.64,0.61,0,-,-,-,-
Total Current Assets,0.94,1.21,1.42,1.61,1.84,0,-,-,-,-
Long-Term Investments,241.69,239.15,237.16,236.08,235.77,0,-,-,-,-
Other Long-Term Assets,0,0.02,0.17,0.32,0.46,0.6,-,-,-,-
Total Long-Term Assets,241.69,239.17,237.33,236.4,236.24,0.6,-,-,-,-
Total Assets,242.62,240.38,238.75,238.01,238.08,0.6,0.51,-,-,0.08
Accounts Payable,0,0,0,0,0,0,0,-,-,0
Current Debt,0,0,0,0,0,0,0.19,-,-,0
Other Current Liabilities,0.89,0.12,0.15,0.11,0.14,0.58,0.31,-,-,0.06
Total Current Liabilities,0.89,0.12,0.15,0.11,0.14,0.58,0.5,-,-,0.06
Long-Term Debt,0.61,0,0,0,0,0,0,-,-,0
Other Long-Term Liabilities,8.51,8.21,8.08,8.06,8.05,0,0,-,-,0
Total Long-Term Liabilities,9.12,8.21,8.08,8.06,8.05,0,0,-,-,0
Total Liabilities,10.01,8.33,8.22,8.17,8.19,0.58,0.5,-,-,0.06
Total Debt,0.61,0,0,0,0,0,0.19,-,-,0
Common Stock,0,0,0,0,0,0.03,0.03,-,-,0.03
Retained Earnings,-9.08,-7.09,-6.63,-6.24,-5.86,-0.01,-0.01,-,-,-0.01
Shareholders' Equity,-9.08,-7.09,-6.63,-6.24,-5.86,0.01,0.02,-,-,0.02
Total Liabilities and Equity,0.94,1.23,1.59,1.92,2.33,0.6,0.51,-,-,0.08
Net Cash / Debt,-0.21,0.62,0.81,0.96,1.23,0,-0.19,0,0,-0
Net Cash Per Share,-0.01,0.02,0.03,0.03,0.05,-,-0.04,-,-,-
Working Capital,0.05,1.09,1.28,1.5,1.7,-0.58,-,-,-,-
Book Value Per Share,-0.32,-0.25,-0.23,-0.22,-0.24,0.00,0.00,-,-,-
