Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-27
Cash & Equivalents,0.61,0.89,0.95,1.09,1.32,0,0,0
Cash & Cash Equivalents,0.61,0.89,0.95,1.09,1.32,0,0,0
Cash Growth,-53.56%,-,-,-,-,-,-,-
Other Current Assets,0.03,0.17,0.32,0.48,0.55,0.01,-,-
Total Current Assets,0.65,1.06,1.27,1.56,1.87,0.01,-,-
Long-Term Investments,285.51,283.15,281.91,281.54,281.52,0,-,-
Other Long-Term Assets,0,0,0,0,0.03,0.73,-,-
Total Long-Term Assets,285.51,283.15,281.91,281.54,281.55,0.73,-,-
Total Assets,286.15,284.22,283.18,283.11,283.42,0.74,0.54,0.11
Accounts Payable,0.14,1.2,0.08,0.05,0.02,0,0,0
Current Debt,0.17,0.17,0.17,0.17,0.17,0.26,-,-
Other Current Liabilities,1.87,0,1,0.92,0.41,0.47,-,-
Total Current Liabilities,2.18,1.38,1.25,1.14,0.61,0.73,-,-
Other Long-Term Liabilities,10.46,12.03,15.37,16.9,23.64,0,-,-
Total Long-Term Liabilities,10.46,12.03,15.37,16.9,23.64,0,-,-
Total Liabilities,12.64,13.4,16.62,18.05,24.24,0.73,0.53,0.09
Total Debt,0.17,0.17,0.17,0.17,0.17,0.26,0.09,0
Debt Growth,-,-34.67%,88.45%,-,-,-,-,-
Common Stock,0,0,0,0,0,0.03,0.03,0.03
Retained Earnings,-11.99,-12.34,-15.36,-16.48,-22.34,-0.02,-0.01,-0
Shareholders' Equity,-11.99,-12.34,-15.35,-16.48,-22.34,0.01,0.01,0.02
Total Liabilities and Equity,0.65,1.06,1.27,1.56,1.9,0.74,0.54,0.11
Net Cash / Debt,0.44,0.72,0.78,0.91,1.15,-0.26,-0.09,0
Net Cash / Debt Growth,-61.53%,-,-,-,-,-,-,-
Net Cash Per Share,0.01,0.02,0.02,0.03,0.08,-0.04,-0.02,-
Working Capital,-1.54,-0.31,0.02,0.42,1.27,-0.72,-,-
Book Value Per Share,-0.35,-0.36,-0.45,-0.48,-1.57,0.00,0.00,-
