Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,0.28,0.38,0.62,0.96,-,-,-,0.04
Cash & Cash Equivalents,0.28,0.38,0.62,0.96,0,0,0,0.04
Cash Growth,-,-,-,2533.94%,-,-,-,-
Other Current Assets,0.04,0.08,0.12,0,-,-,-,0
Total Current Assets,0.32,0.46,0.74,0.96,-,-,-,0.04
Long-Term Investments,59.22,58.6,58.45,58.36,-,-,-,0
Other Long-Term Assets,0,0,0,0,-,-,-,0.06
Total Long-Term Assets,59.22,58.6,58.45,58.36,-,-,-,0.06
Total Assets,59.53,59.06,59.19,59.33,-,-,-,0.1
Current Debt,0,0,0,0,-,-,-,0.07
Other Current Liabilities,0.24,0.07,0.12,0.01,-,-,-,0
Total Current Liabilities,0.24,0.07,0.12,0.01,-,-,-,0.07
Other Long-Term Liabilities,2.05,2.01,2.01,2.01,-,-,-,0
Total Long-Term Liabilities,2.05,2.01,2.01,2.01,-,-,-,0
Total Liabilities,2.3,2.09,2.13,2.03,-,-,-,0.07
Total Debt,0,0,0,0,-,-,-,0.07
Common Stock,0.8,3.91,6.68,9.09,-,-,-,0.03
Retained Earnings,-0.12,-0.38,-0.3,-0.05,-,-,-,-0
Shareholders' Equity,0.68,3.53,6.38,9.03,-,-,-,0.02
Total Liabilities and Equity,2.97,5.62,8.51,11.06,-,-,-,0.1
Net Cash / Debt,0.28,0.38,0.62,0.96,0,0,0,-0.04
Net Cash Per Share,0.05,0.07,0.11,-,-,-,-,-0.03
Working Capital,0.07,0.39,0.62,0.95,-,-,-,-0.04
Book Value Per Share,0.12,0.61,1.11,57.34,-,-,-,0.02
