Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.02,0.05,0.1,0.04,0.13,0.58,0.94,1.36,6.6,0
Cash & Cash Equivalents,0.02,0.05,0.1,0.04,0.13,0.58,0.94,1.36,6.6,0
Cash Growth,-84.78%,-91.49%,-89.56%,-97.24%,-98.00%,-,-,-,-,-
Other Current Assets,0.17,0.26,0.41,0.56,0.71,0.81,0.97,1.1,0.01,0.02
Total Current Assets,0.19,0.31,0.51,0.6,0.85,1.39,1.91,2.46,6.61,0.02
Long-Term Investments,282.82,280.09,277.75,276.46,276.05,276.02,276.01,275.99,0,0
Other Long-Term Assets,0,0,0,0,0,0,0,0,0.48,0.03
Total Long-Term Assets,282.82,280.09,277.75,276.46,276.05,276.02,276.01,275.99,0.48,0.03
Total Assets,283.01,280.4,278.26,277.06,276.9,277.41,277.92,278.45,7.09,0.04
Accounts Payable,0.01,0,0,0,0.02,0.29,0.59,0.01,0.02,0.03
Current Debt,0.3,0.2,0.2,0,0,0,0,0,0.1,0.01
Other Current Liabilities,0.6,0.51,0.46,0.48,0.44,0.38,0.36,0.96,0.36,0.03
Total Current Liabilities,0.91,0.71,0.66,0.48,0.46,0.67,0.94,0.96,0.48,0.06
Other Long-Term Liabilities,11.26,10.33,11.9,13.61,15.82,20.11,22.35,30.66,6.5,0
Total Long-Term Liabilities,11.26,10.33,11.9,13.61,15.82,20.11,22.35,30.66,6.5,0
Total Liabilities,12.17,11.04,12.56,14.08,16.28,20.78,23.29,31.62,6.99,0.06
Total Debt,0.3,0.2,0.2,0,0,0,0,0,0.1,0.01
Common Stock,0,0,0,0,0,0,0,6.03,0.12,0
Retained Earnings,-11.87,-10.63,-11.95,-13.39,-15.38,-19.36,-21.37,-1.03,-0.02,-0.01
Shareholders' Equity,-11.87,-10.63,-11.95,-13.39,-15.38,-19.36,-21.37,5,0.1,-0.01
Total Liabilities and Equity,0.29,0.41,0.61,0.7,0.9,1.41,1.92,36.62,7.09,0.04
Net Cash / Debt,-0.28,-0.15,-0.1,0.04,0.13,0.58,0.94,1.36,6.5,-0.01
Net Cash / Debt Growth,-,-,-,-97.24%,-97.97%,-,-,-,-,-
Net Cash Per Share,-0.01,-0.00,-0.00,0.00,0.00,0.03,0.03,0.15,1.08,-
Working Capital,-0.72,-0.4,-0.15,0.12,0.39,0.72,0.97,1.5,6.12,-0.04
Book Value Per Share,-0.34,-0.31,-0.35,-0.39,-0.45,-0.93,-0.62,0.57,0.02,-
