Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Cash & Equivalents,0.08,0.49,0.06,0.19,0.42,2.05,-
Cash & Cash Equivalents,0.08,0.49,0.06,0.19,0.42,2.05,0
Cash Growth,-81.45%,-76.33%,-,-,-,-,-
Other Current Assets,0.17,0.36,0.53,0.72,0.74,0.73,-
Total Current Assets,0.25,0.84,0.59,0.91,1.16,2.78,-
Long-Term Investments,41.69,40.87,232.62,232.32,232.31,232.3,-
Other Long-Term Assets,0,0,0,0,0.17,0.35,-
Total Long-Term Assets,41.69,40.87,232.62,232.32,232.47,232.65,-
Total Assets,41.95,41.72,233.21,233.23,233.63,235.42,-
Accounts Payable,0.98,0.84,0.71,0.47,0.1,1.24,-
Current Debt,0.86,0.23,0,0,0,0,-
Other Current Liabilities,2.35,1.58,0.86,0.36,0.53,0.29,-
Total Current Liabilities,4.19,2.65,1.57,0.83,0.63,1.53,-
Other Long-Term Liabilities,9.23,9.22,9.26,9.38,9.61,9.64,-
Total Long-Term Liabilities,9.23,9.22,9.26,9.38,9.61,9.64,-
Total Liabilities,13.42,11.87,10.83,10.22,10.25,11.17,-
Total Debt,0.86,0.23,0,0,0,0,-
Common Stock,0,0,0,0,0,0,-
Retained Earnings,-13.08,-11.03,-10.15,-9.3,-8.92,-8.05,-
Shareholders' Equity,-13.08,-11.02,-10.15,-9.3,-8.92,-8.05,-
Total Liabilities and Equity,0.34,0.84,0.68,0.91,1.33,3.12,-
Net Cash / Debt,-0.78,0.26,0.06,0.19,0.42,2.05,0
Net Cash / Debt Growth,-,-87.30%,-,-,-,-,-
Net Cash Per Share,-0.12,0.04,0.01,0.03,0.05,0.21,-
Working Capital,-3.94,-1.8,-0.99,0.08,0.53,1.25,-
Book Value Per Share,-2.00,-1.69,-1.55,-1.42,-1.09,-0.83,-
