Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Cash & Equivalents,0.05,0.11,0.21,0.62,0.97,0.03,0
Cash & Cash Equivalents,0.05,0.11,0.21,0.62,0.97,0.03,0
Cash Growth,-94.54%,330.58%,21249.30%,-,-,-,-
Other Current Assets,0.08,0.12,0.17,0.21,0.03,-,-
Total Current Assets,0.13,0.24,0.38,0.83,1,-,-
Long-Term Investments,105.94,105.32,105.14,104.99,105.05,-,-
Total Long-Term Assets,105.94,105.32,105.14,104.99,105.05,-,-
Total Assets,106.08,105.55,105.52,105.82,106.05,0.2,0.08
Accounts Payable,0.15,0.12,0.09,0.07,0.06,0,0
Current Debt,0,0,0,0,0,0.05,0
Other Current Liabilities,0.84,0.16,0.3,0.13,0.18,0.14,0.06
Total Current Liabilities,0.99,0.28,0.39,0.2,0.24,0.18,0.06
Other Long-Term Liabilities,3.62,3.62,3.62,3.62,3.62,0,0
Total Long-Term Liabilities,3.62,3.62,3.62,3.62,3.62,0,0
Total Liabilities,4.61,3.9,4.01,3.82,3.86,0.18,0.06
Total Debt,0,0,0,0,0,0.05,0
Common Stock,0,0,0,0,0,0.03,0.03
Retained Earnings,-4.48,-3.41,-3.54,-3.05,-2.86,-0,-0
Shareholders' Equity,-4.48,-3.41,-3.54,-3.05,-2.86,0.02,0.02
Total Liabilities and Equity,0.13,0.5,0.47,0.77,1,0.2,0.08
Net Cash / Debt,0.05,0.11,0.21,0.62,0.97,-0.02,0
Net Cash / Debt Growth,-94.54%,-,-,-,-,-,-
Net Cash Per Share,0.02,0.04,0.08,0.23,0.37,-0.01,-
Working Capital,-0.86,-0.05,-0.01,0.64,0.76,-,-
Book Value Per Share,-1.46,-1.11,-1.29,-1.13,-1.10,0.01,-
