Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-02-24
Cash & Equivalents,0.33,0.02,0.11,0.23,0.65,0.83,0.03,0.03
Cash & Cash Equivalents,0.33,0.02,0.11,0.23,0.65,0.83,0.03,0.03
Cash Growth,-49.36%,-97.84%,337.10%,826.44%,-,-,-,-
Other Current Assets,0.29,0.39,0.49,0.6,0.7,0.78,0.34,0.04
Total Current Assets,0.62,0.41,0.6,0.83,1.35,1.61,0.36,0.06
Long-Term Investments,151.77,150.77,150.09,150.02,150,150,0,0
Total Long-Term Assets,151.77,150.77,150.09,150.02,150,150,0,0
Total Assets,152.39,151.18,150.7,150.85,151.35,151.61,0.36,0.06
Current Debt,0.22,0,0,0,0,0,0.06,0
Other Current Liabilities,0.82,0.54,0.35,0.32,0.51,0.3,0.28,0.04
Total Current Liabilities,1.04,0.54,0.35,0.32,0.51,0.3,0.34,0.04
Long-Term Debt,0,0.07,0,0,0,0,0,0
Other Long-Term Liabilities,5.38,6.95,7.4,9.68,11.75,14.93,0,0
Total Long-Term Liabilities,5.38,7.02,7.4,9.68,11.75,14.93,0,0
Total Liabilities,6.42,7.56,7.75,10,12.26,15.23,0.34,0.04
Total Debt,0.22,0.07,0,0,0,0,0.06,0
Common Stock,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-5.38,-6.91,-7.06,-9.15,-10.91,-13.62,-0,-0
Shareholders' Equity,-5.38,-6.91,-7.05,-9.14,-10.91,-13.62,0.02,0.02
Total Liabilities and Equity,1.04,0.65,0.7,0.85,1.35,1.61,0.36,0.06
Net Cash / Debt,0.11,-0.05,0.11,0.23,0.65,0.83,-0.04,0.03
Net Cash / Debt Growth,-83.46%,-,-,826.44%,-,-,-,-
Net Cash Per Share,0.01,-0.00,0.01,0.01,0.03,0.04,-0.01,-
Working Capital,-0.42,-0.12,0.25,0.51,0.84,1.31,0.02,0.02
Book Value Per Share,-0.29,-0.37,-0.38,-0.49,-0.58,-0.73,0.01,-
