Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.32,0.65,0.72,0.94,1.35,1.44,0,0,0.01
Cash & Cash Equivalents,0.32,0.65,0.72,0.94,1.35,1.44,0,0,0.01
Cash Growth,-76.02%,-54.85%,14608.71%,19232.50%,25405.96%,-,-,-,-
Other Current Assets,0.23,0.31,0.35,0.37,0.33,0.65,-,-,0
Total Current Assets,0.55,0.97,1.07,1.31,1.68,2.09,-,-,0.01
Long-Term Investments,159.61,158.31,157.75,157.53,157.62,157.63,-,-,0
Other Long-Term Assets,0,0,0.05,0.13,0.21,0,-,-,0.25
Total Long-Term Assets,159.61,158.31,157.8,157.66,157.83,157.63,-,-,0.25
Total Assets,160.16,159.27,158.87,158.97,159.51,159.72,0.29,0.26,0.26
Accounts Payable,0,0,0,0,0,0.16,0,0,0
Current Debt,0,0,0,0,0,0,0.13,0.13,0.13
Other Current Liabilities,0.8,0.72,0.49,0.37,0.42,0,0.14,0.11,0.1
Total Current Liabilities,0.8,0.72,0.49,0.37,0.42,0.16,0.27,0.24,0.23
Other Long-Term Liabilities,6.33,6.42,6.83,8.22,9.49,10.92,0,0,0
Total Long-Term Liabilities,6.33,6.42,6.83,8.22,9.49,10.92,0,0,0
Total Liabilities,7.13,7.13,7.31,8.58,9.91,11.08,0.27,0.24,0.23
Total Debt,0,0,0,0,0,0,0.13,0.13,0.13
Common Stock,0,0,0,0,0,0,0.03,0.03,0.03
Retained Earnings,-5.9,-5.83,-6.06,-7.23,-8.02,-8.98,-0.01,-0.01,-0
Shareholders' Equity,-5.9,-5.83,-6.06,-7.23,-8.02,-8.98,0.02,0.02,0.02
Total Liabilities and Equity,1.23,1.3,1.25,1.35,1.89,2.1,0.29,0.26,0.26
Net Cash / Debt,0.32,0.65,0.72,0.94,1.35,1.44,-0.13,-0.13,-0.13
Net Cash / Debt Growth,-76.02%,-54.85%,-,-,-,-,-,-,-
Net Cash Per Share,0.02,0.03,0.04,0.05,0.14,0.12,-0.03,-0.03,-0.03
Working Capital,-0.25,0.25,0.58,0.94,1.26,1.93,-,-,-0.23
Book Value Per Share,-0.29,-0.29,-0.30,-0.36,-0.81,-0.77,0.00,0.00,0.01
