Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-08-04
Cash & Equivalents,1.01,1.1,1.18,1.26,1.73,1.73,0,0
Cash & Cash Equivalents,1.01,1.1,1.18,1.26,1.73,1.73,0,0
Cash Growth,-41.65%,-36.74%,-,-,-,-,-,-
Other Current Assets,0.58,0.71,0.78,0.79,0.75,0.76,-,-
Total Current Assets,1.59,1.8,1.96,2.05,2.48,2.49,-,-
Long-Term Investments,356.59,352.7,349.71,348.46,348.09,348.21,-,-
Other Long-Term Assets,0,0,0.14,0.32,0.51,0.69,-,-
Total Long-Term Assets,356.59,352.7,349.85,348.79,348.6,348.91,-,-
Total Assets,358.18,354.51,351.81,350.83,351.08,351.4,0.13,0.13
Accounts Payable,0.12,0.01,0.01,0.01,0.24,0.06,0,0
Other Current Liabilities,0.03,0.03,0.05,0.05,0.08,0.13,0.12,0.11
Total Current Liabilities,0.15,0.04,0.06,0.06,0.32,0.2,0.12,0.11
Other Long-Term Liabilities,11.95,11.95,11.95,11.95,11.95,11.95,0,0
Total Long-Term Liabilities,11.95,11.95,11.95,11.95,11.95,11.95,0,0
Total Liabilities,12.1,11.99,12,12.01,12.27,12.14,0.12,0.11
Common Stock,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-10.4,-10.09,-9.81,-9.54,-9.39,-8.95,-0.01,-0.01
Shareholders' Equity,-10.4,-10.09,-9.81,-9.54,-9.39,-8.95,0.01,0.02
Total Liabilities and Equity,1.69,1.9,2.2,2.47,2.88,3.2,0.13,0.13
Net Cash / Debt,1.01,1.1,1.18,1.26,1.73,1.73,0,0
Net Cash / Debt Growth,-41.65%,-36.74%,-,-,-,-,-,-
Net Cash Per Share,0.02,0.03,0.03,0.03,0.04,0.14,-,-
Working Capital,1.44,1.76,1.91,1.99,2.15,2.29,-,-
Book Value Per Share,-0.24,-0.24,-0.23,-0.22,-0.22,-0.70,0.00,0.00
