Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Cash & Equivalents,0.07,0.07,0.39,0.68,0.89,1.23,0.03,0.03
Cash & Cash Equivalents,0.07,0.07,0.39,0.68,0.89,1.23,0.03,0.03
Cash Growth,-92.45%,-94.08%,1463.78%,2606.98%,-,-,-,-
Receivables,1.16,1.16,1.16,1.16,1.16,1.16,0,0
Other Current Assets,-0.97,-0.97,-0.84,-0.74,-0.69,-0.74,0,0
Total Current Assets,0.26,0.26,0.7,1.1,1.35,1.64,0.03,0.03
Long-Term Investments,256.83,254.25,252.44,251.4,251.21,222.2,0,0
Other Long-Term Assets,1.16,1.16,1.16,1.16,1.23,1.33,0.11,0
Total Long-Term Assets,257.98,255.41,253.6,252.56,252.44,223.53,0.11,0
Total Assets,258.24,255.66,254.3,253.65,253.79,225.17,0.13,0.03
Accounts Payable,0.13,0.13,0.14,0.11,0.2,0.09,0,0
Deferred Revenue,1.16,1.16,1.16,1.16,1.16,1.16,0,0
Current Debt,0.75,0,0,0,0,0,0.07,0
Other Current Liabilities,-0.24,-0.8,-0.97,-1.11,-1.16,-1.16,0.04,0
Total Current Liabilities,1.8,0.49,0.33,0.15,0.2,0.09,0.11,0
Other Long-Term Liabilities,9.86,9.86,9.86,9.86,9.86,8.86,0,0
Total Long-Term Liabilities,9.86,9.86,9.86,9.86,9.86,8.86,0,0
Total Liabilities,11.66,10.35,10.19,10.01,10.06,8.95,0.11,0
Total Debt,0.75,0,0,0,0,0,0.07,0
Common Stock,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-9.28,-8.5,-8.06,-7.67,-7.45,-5.98,-0,-0
Shareholders' Equity,-9.28,-8.5,-8.06,-7.67,-7.45,-5.98,0.02,0.02
Total Liabilities and Equity,2.38,1.85,2.12,2.34,2.61,2.97,0.13,0.03
Net Cash / Debt,-0.68,0.07,0.39,0.68,0.89,1.23,-0.04,0.03
Net Cash / Debt Growth,-,-94.08%,-,2606.98%,-,-,-,-
Net Cash Per Share,-0.02,0.00,0.01,0.02,0.03,0.20,-0.01,0.00
Working Capital,-1.54,-0.23,0.38,0.95,1.15,1.55,-0.08,0.02
Book Value Per Share,-0.27,-0.25,-0.23,-0.22,-0.22,-1.00,0.00,0.00
