Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-18
Cash & Equivalents,0.14,0.11,0.29,0.44,0.64,0,-,0.03
Cash & Cash Equivalents,0.14,0.11,0.29,0.44,0.64,0,0,0.03
Cash Growth,-77.92%,11339.42%,-,1670.89%,-,-,-,-
Other Current Assets,0.41,0.52,0.42,0.37,0.37,0,-,0
Total Current Assets,0.55,0.63,0.72,0.82,1,0,-,0.03
Long-Term Investments,237.78,235.88,234.93,234.65,234.61,0,-,0
Other Long-Term Assets,0,0,0.16,0.31,0.37,0.5,-,0.16
Total Long-Term Assets,237.78,235.88,235.09,234.96,234.98,0.5,-,0.16
Total Assets,238.32,236.51,235.81,235.78,235.98,0.51,-,0.19
Current Debt,0.26,0,0,0,0,0.13,-,0
Other Current Liabilities,0.26,0.29,0.24,0.24,0.18,0.36,-,0.17
Total Current Liabilities,0.53,0.29,0.24,0.24,0.18,0.49,-,0.17
Long-Term Debt,5,5,5,5,5,0,-,0
Other Long-Term Liabilities,9.8,9.8,9.8,9.8,9.8,0,-,0
Total Long-Term Liabilities,14.8,14.8,14.8,14.8,14.8,0,-,0
Total Liabilities,15.33,15.09,15.04,15.04,14.98,0.49,-,0.17
Total Debt,5.26,5,5,5,5,0.13,-,0
Debt Growth,5.27%,3746.15%,-,-,-,-,-,-
Common Stock,0,0,0,0,0,0.03,-,0.03
Retained Earnings,-14.78,-14.46,-14.17,-13.86,-13.6,-0.01,-,-0.01
Shareholders' Equity,-14.78,-14.46,-14.17,-13.86,-13.6,0.02,-,0.02
Total Liabilities and Equity,0.55,0.63,0.87,1.18,1.38,0.51,-,0.19
Net Cash / Debt,-5.12,-4.89,-4.71,-4.56,-4.36,-0.13,0,0.03
Net Cash Per Share,-0.17,-0.17,-0.16,-0.16,-,-0.03,-,-
Working Capital,0.02,0.34,0.47,0.58,0.82,-0.48,-,-0.14
Book Value Per Share,-0.50,-0.49,-0.48,-0.47,-1.98,0.00,-,-
