Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+27 Quarters
Total Current Liabilities,"19,097","19,353","20,853","20,309","18,702","18,568","15,739","14,023","12,711","12,390","14,510","16,100","15,942","17,579","13,415","10,829","11,380","13,389","11,305","10,934","9,551","8,363","9,994","9,511","10,206","10,341","8,046","7,783","5,125","5,357","5,355","5,789","5,443","5,798","6,006","5,314","4,961","4,385","4,335","3,671",Upgrade
Long-Term Debt,"20,606","20,487","20,200","20,546","17,479","17,673","19,978","20,996","20,974","21,055","21,071","17,880","13,893","13,688","16,729","16,694","16,630","16,633","16,630","16,627","16,624","16,621","16,618","14,142","14,140","14,138","15,882","15,879","15,876","15,877",0,0,0,0,0,0,0,0,0,0,Upgrade
Other Long-Term Liabilities,"8,487","8,623","8,867","9,072","9,638","9,494","9,590","9,862","8,814","9,302","9,128","8,380","8,400","8,244","7,746","7,731","7,580","7,538","7,284","7,296","8,764","8,769","8,605","8,403","8,098","7,165","7,195","7,378","4,194","4,267","4,170","5,013","5,155","5,144","5,150","5,075","5,007","4,849","4,751","4,611",Upgrade
Total Long-Term Liabilities,"29,093","29,110","29,067","29,618","27,117","27,167","29,568","30,858","29,788","30,357","30,199","26,260","22,293","21,932","24,475","24,425","24,210","24,171","23,914","23,923","25,388","25,390","25,223","22,545","22,238","21,303","23,077","23,257","20,070","20,144","4,170","5,013","5,155","5,144","5,150","5,075","5,007","4,849","4,751","4,611",Upgrade
Total Liabilities,"48,190","48,463","49,920","49,927","45,819","45,735","45,307","44,881","42,499","42,747","44,709","42,360","38,235","39,511","37,890","35,254","35,590","37,560","35,219","34,857","34,939","33,753","35,217","32,056","32,444","31,644","31,123","31,040","25,195","25,501","9,525","10,802","10,598","10,942","11,156","10,389","9,968","9,234","9,086","8,282",Upgrade
Total Debt,"20,606","20,487","22,450","23,795","21,027","20,920","20,977","20,996","20,974","21,055","24,070","20,879","17,892","16,688","16,729","16,694","16,630","16,633","16,630","16,627","16,624","16,621","18,367","15,891","15,888","16,451","15,882","15,879","15,876","15,877",0,0,0,0,0,0,0,0,0,0,Upgrade
Debt Growth,-2.00%,-2.07%,7.02%,13.33%,0.25%,-0.64%,-12.85%,0.56%,17.23%,26.17%,43.88%,25.07%,7.59%,0.33%,0.60%,0.40%,0.04%,0.07%,-9.46%,4.63%,4.63%,1.03%,15.65%,0.08%,0.08%,3.62%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
Common Stock,"21,945","21,780","21,834","21,790","21,743","21,660","21,802","21,895","21,811","21,712","21,768","21,731","21,663","21,711","21,832","21,845","21,848","21,912","22,141","22,151","22,183","22,232","22,374","22,527","22,623","22,603","22,908","23,036","17,645","17,824","18,073","18,008","18,098","18,200","18,299","18,393","18,555","18,702","18,875","19,130",Upgrade
Retained Earnings,"17,610","16,403","16,116","14,960","14,651","14,606","15,351","15,294","15,513","14,813","14,088","14,072","13,366","13,899","13,502","13,040","12,513","11,908","11,318","10,426","10,192","9,966","9,508","9,299","9,140","10,492","10,462","10,334","11,582","11,701","11,843","10,623","10,108","9,732","9,131","8,909","8,714","8,269","7,974","7,989",Upgrade
Comprehensive Income,-990,"-1,259","-2,369","-1,267",-405,-72,436,601,372,"1,154",354,-279,-444,-340,-650,110,-86,275,547,741,"1,728","1,203",878,118,-980,"-1,369",-458,-543,-96,-49,-74,-4,31,10,-17,-16,26,43,21,-116,Upgrade
Shareholders' Equity,"38,565","36,924","35,581","35,483","35,989","36,194","37,589","37,790","37,696","37,679","36,210","35,524","34,585","35,270","34,684","34,995","34,275","34,095","34,006","33,318","34,103","33,401","32,760","31,944","30,783","31,726","32,912","32,827","29,131","29,476","29,842","28,627","28,237","27,942","27,413","27,286","27,295","27,014","26,870","27,003",Upgrade
Total Liabilities and Equity,"86,755","85,387","85,501","85,410","81,808","81,929","82,896","82,671","80,195","80,426","80,919","77,884","72,820","74,781","72,574","70,249","69,865","71,655","69,225","68,175","69,042","67,154","67,977","64,000","63,227","63,370","64,035","63,867","54,326","54,977","39,367","39,429","38,835","38,884","38,569","37,675","37,263","36,248","35,956","35,285",Upgrade
Net Cash / Debt,"-2,396","-2,663","-2,479","-4,956","-6,616","-3,855","-1,571",-862,"-1,528","-2,120","-3,128","-3,094","-4,477","-2,384","-3,450","-4,615","-4,207","-3,387","-3,430","-3,239","-4,021","-4,187","-3,898","-4,670","-6,937","-5,902","-5,917","-6,100","5,082","6,529","7,087","5,865","5,784","5,978","5,448","5,169","4,599","4,139","4,304","3,397",Upgrade
Net Cash / Debt Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-12.14%,9.22%,30.08%,13.46%,25.77%,44.43%,26.58%,52.16%,66.15%,46.05%,-40.63%,-48.41%,Upgrade
Net Cash Per Share,-1.02,-1.13,-1.05,-2.08,-2.76,-1.60,-0.65,-0.35,-0.62,-0.86,-1.27,-1.25,-1.80,-0.96,-1.37,-1.83,-1.66,-1.33,-1.34,-1.26,-1.55,-1.60,-1.49,-1.77,-2.60,-2.20,-2.19,-2.30,1.91,2.42,2.61,2.16,2.12,2.18,1.97,1.86,1.64,1.14,1.49,0.92,Upgrade
Working Capital,"9,560","8,506","9,352","8,662","5,389","7,338","11,868","14,019","14,190","13,890","13,135","8,911","3,965","4,740","7,555","7,476","7,110","6,718","6,911","7,557","8,985","8,924","9,029","6,207","5,299","4,348","6,267","6,591","19,178","20,116","4,666","4,279","4,662","4,066","3,556","3,711","3,546","3,380","3,487","3,270",Upgrade
Book Value Per Share,18.71,17.87,17.13,17.06,17.20,17.18,17.73,17.74,17.65,17.65,17.06,16.66,16.13,16.36,16.00,16.06,15.63,15.46,15.32,14.94,15.19,14.78,14.42,13.94,13.33,13.65,14.02,13.85,12.22,12.22,12.42,11.75,15.65,15.38,15.08,14.90,14.75,10.67,13.98,10.48,Upgrade
