Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.21,0.35,0.41,0.67,0.86,0.98,1.08,1.57,0
Cash & Cash Equivalents,0.21,0.35,0.41,0.67,0.86,0.98,1.08,1.57,0
Cash Growth,-75.32%,-64.34%,-62.48%,-57.51%,-,-,-,-,-
Other Current Assets,0.06,0.69,0.27,0.37,0.39,0.55,0.74,0.87,0
Total Current Assets,0.28,1.04,0.68,1.04,1.25,1.53,1.83,2.45,0
Long-Term Investments,313.91,311.3,309.9,309.48,309.45,309.45,309.45,309.45,0
Other Long-Term Assets,0,0,0,0,0,0,0,0,0.07
Total Long-Term Assets,313.91,311.3,309.9,309.48,309.45,309.45,309.45,309.45,0.07
Total Assets,314.19,312.33,310.58,310.52,310.7,310.99,311.28,311.9,0.07
Accounts Payable,5.44,5.38,2.4,2.52,1.02,0,0,0,0
Current Debt,0,0,0,0,0,0,0,0,0.01
Other Current Liabilities,0,0,0,0,0,0.46,0.2,0.07,0.04
Total Current Liabilities,5.44,5.38,2.4,2.52,1.02,0.46,0.2,0.07,0.05
Other Long-Term Liabilities,11,12.47,12.03,14.63,19.13,22.34,27.66,27.77,0
Total Long-Term Liabilities,11,12.47,12.03,14.63,19.13,22.34,27.66,27.77,0
Total Liabilities,16.44,17.85,14.43,17.15,20.15,22.8,27.86,27.83,0.05
Total Debt,0,0,0,0,0,0,0,0,0.01
Common Stock,0,0,0,0,0,0,7.06,6.41,0.03
Retained Earnings,-16.16,-16.82,-13.75,-16.07,-18.91,-21.26,-2.06,-1.41,-0.01
Shareholders' Equity,-16.16,-16.82,-13.75,-16.07,-18.9,-21.26,5,5,0.02
Total Liabilities and Equity,0.28,1.04,0.68,1.07,1.25,1.53,32.86,32.83,0.07
Net Cash / Debt,0.21,0.35,0.41,0.67,0.86,0.98,1.08,1.57,-0.01
Net Cash / Debt Growth,-75.32%,-64.34%,-62.48%,-57.51%,-,-,-,-,-
Net Cash Per Share,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.09,-0.00
Working Capital,-5.17,-4.34,-1.72,-1.48,0.23,1.08,1.63,2.38,-0.05
Book Value Per Share,-0.42,-0.43,-0.36,-0.42,-0.49,-0.55,0.13,0.30,0.00
