Metrics,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,1.34,1.52,1.83,2.33,0
Cash & Cash Equivalents,1.34,1.52,1.83,2.33,0
Other Current Assets,0.18,0.17,0.08,0.04,0
Total Current Assets,1.52,1.69,1.91,2.37,0
Long-Term Investments,258.28,257.15,256.81,256.8,0
Other Long-Term Assets,0,0,0,0,0.33
Total Long-Term Assets,258.28,257.15,256.81,256.8,0.33
Total Assets,259.81,258.84,258.72,259.16,0.33
Accounts Payable,1.39,0.26,0.3,0.32,0
Current Debt,0,0,0,0.23,0.32
Other Current Liabilities,0.18,0.35,0.11,0.09,0.02
Total Current Liabilities,1.57,0.61,0.41,0.64,0.34
Other Long-Term Liabilities,13.92,13.92,13.92,13.92,0
Total Long-Term Liabilities,13.92,13.92,13.92,13.92,0
Total Liabilities,15.49,14.52,14.32,14.56,0.34
Total Debt,0,0,0,0.23,0.32
Common Stock,0,0,0,0,0.03
Retained Earnings,-13.86,-12.73,-12.39,-12.19,-0.03
Shareholders' Equity,-13.86,-12.73,-12.39,-12.19,-0.01
Total Liabilities and Equity,1.62,1.79,1.93,2.37,0.33
Net Cash / Debt,1.34,1.52,1.83,2.1,-0.32
Net Cash Per Share,0.04,0.05,0.06,-,-0.06
Working Capital,-0.05,1.08,1.5,1.73,-0.34
Book Value Per Share,-0.44,-0.40,-0.39,-2.11,-0.00
