Year,2022,2021,2020
Cash & Equivalents,0.12,0.67,1.6
Cash & Cash Equivalents,0.12,0.67,1.6
Cash Growth,-82.66%,-58.39%,-
Other Current Assets,0.03,0.11,0.33
Total Current Assets,0.14,0.78,1.93
Long-Term Investments,69.78,324.21,324.17
Total Long-Term Assets,69.78,324.21,324.17
Total Assets,69.92,324.99,326.11
Accounts Payable,0.76,0.33,0.54
Current Debt,1.46,0,0
Other Current Liabilities,1.26,0.16,0.13
Total Current Liabilities,3.48,0.49,0.67
Other Long-Term Liabilities,0.33,20.27,36.97
Total Long-Term Liabilities,0.33,20.27,36.97
Total Liabilities,3.81,20.75,37.64
Total Debt,1.46,0,0
Common Stock,0,0,0
Retained Earnings,-3.56,-19.85,-35.62
Shareholders' Equity,-3.56,-19.85,-35.62
Total Liabilities and Equity,0.24,0.9,2.02
Net Cash / Debt,-1.35,0.67,1.6
Net Cash / Debt Growth,-,-58.39%,-
Net Cash Per Share,-0.04,0.02,0.06
Working Capital,-3.33,0.29,1.26
Book Value Per Share,-0.11,-0.49,-1.23
