Year,2022,2021,2020,2019
Cash & Equivalents,0.33,1.2,0,0
Cash & Cash Equivalents,0.33,1.2,0,0
Cash Growth,-72.37%,-,-,-
Other Current Assets,0.09,0.81,0.45,0
Total Current Assets,0.43,2.02,0.45,0
Long-Term Investments,700.2,690.07,0,0
Other Long-Term Assets,0,0.09,0,0
Total Long-Term Assets,700.2,690.16,0,0
Total Assets,700.63,692.18,0.45,0
Accounts Payable,5.23,4.84,0.4,0
Current Debt,5,3,0,-
Other Current Liabilities,0,0,0.05,-
Total Current Liabilities,10.23,7.84,0.45,-
Other Long-Term Liabilities,27.54,47.17,0,-
Total Long-Term Liabilities,27.54,47.17,0,-
Total Liabilities,37.76,55.01,0.45,0
Total Debt,5,3,0,0
Debt Growth,66.67%,-,-,-
Common Stock,0,0,0.03,0.03
Retained Earnings,-37.24,-52.84,-0.03,-0.03
Shareholders' Equity,-37.24,-52.83,0,0
Total Liabilities and Equity,0.53,2.18,0.45,0
Net Cash / Debt,-4.67,-1.8,0,0
Net Cash Per Share,-0.05,-0.02,-,-
Working Capital,-9.8,-5.82,0,-
Book Value Per Share,-0.43,-0.68,-,-
