Year,2022,2021,2020
Cash & Equivalents,125.01,107.27,113.62
Cash & Cash Equivalents,125.01,107.27,113.62
Cash Growth,16.53%,-5.59%,-
Receivables,720.57,648.49,653.19
Goodwill and Intangibles,89.87,91.34,84.01
Total Assets,"2,363.44","2,118.21","1,948.63"
Accounts Payable,162.2,160.68,164.35
Deferred Revenue,600.15,501.26,489.24
Total Liabilities,"1,941.78","1,692.13","1,555.11"
Total Debt,128.61,128.53,128.45
Debt Growth,0.06%,0.06%,-
Common Stock,570.56,566.25,474.14
Retained Earnings,-105.42,-144.81,-183.13
Comprehensive Income,-43.49,4.64,12.22
Shareholders' Equity,421.66,426.08,303.22
Total Liabilities and Equity,"2,363.44","2,118.21","1,858.33"
Net Cash / Debt,-3.6,-21.26,-14.83
Net Cash Per Share,-0.11,-0.65,-0.91
Book Value Per Share,25.45,26.13,18.70
