Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2007
Cash & Equivalents,283.61,245.28,301.5,287.06,184.12,276.28,150.69,84.79,61.39,34.89,Upgrade
Cash & Cash Equivalents,283.61,245.28,301.5,287.06,184.12,276.28,150.69,84.79,61.39,34.89,Upgrade
Cash Growth,15.63%,-18.65%,5.03%,55.91%,-33.36%,83.34%,77.73%,38.11%,75.97%,-51.00%,Upgrade
Receivables,"1,717.44","1,076.29",908.5,636.7,95.82,75.28,171.45,120.57,95.2,81.34,Upgrade
"Property, Plant & Equipment",19.59,31.56,34.19,32.73,17.14,17.29,17.86,17.14,8.02,2.41,Upgrade
Goodwill and Intangibles,72.25,91.42,94.98,99.12,104.4,118.32,26.63,3.41,0,0,Upgrade
Total Assets,"2,837.5","2,698.57","2,848.94","2,467.22","2,321.43","2,059.92",999.69,740.02,584.17,441.23,Upgrade
Accounts Payable,349.46,439.41,410.72,302.28,302.85,237.5,147.95,64.54,45.25,39.48,Upgrade
Deferred Revenue,545.82,644.94,723.94,674.06,627.31,555.87,372.22,304.65,229.49,193.43,Upgrade
Total Liabilities,"3,019.54","2,366.62","2,431.34","1,943.35","1,781.06","1,522.8",758.36,500.81,380.41,333.64,Upgrade
Total Debt,154.16,158.5,160.35,159.26,160.12,161.36,54.18,12.35,13.53,14.71,Upgrade
Debt Growth,-2.73%,-1.16%,0.69%,-0.54%,-0.77%,197.86%,338.56%,-8.69%,-8.00%,-7.40%,Upgrade
Common Stock,395.2,393.84,392.7,391.43,388.71,386.72,98.92,96.73,81.95,27.37,Upgrade
Retained Earnings,-546.3,-74.9,-6.64,100.39,140.55,141.19,141.58,140.86,117.8,80.12,Upgrade
Comprehensive Income,-30.95,-6.53,9.69,11.32,-9.03,9.22,0.82,1.62,4.01,0.09,Upgrade
Shareholders' Equity,-182.04,312.41,395.75,503.14,520.23,537.13,241.33,239.21,203.76,107.59,Upgrade
Total Liabilities and Equity,"2,837.5","2,679.02","2,827.1","2,446.49","2,301.29","2,059.92",999.69,740.02,584.17,441.23,Upgrade
Net Cash / Debt,129.45,86.78,141.15,127.8,24,114.91,96.51,72.43,47.86,20.18,Upgrade
Net Cash / Debt Growth,49.16%,-38.52%,10.44%,432.46%,-79.11%,19.06%,33.24%,51.34%,137.15%,-63.52%,Upgrade
Net Cash Per Share,3.01,2.02,3.29,2.99,0.56,3.07,4.47,3.38,2.39,1.25,Upgrade
Book Value Per Share,-4.23,7.27,9.23,11.77,12.20,14.46,11.27,11.27,10.22,6.68,Upgrade
