Year,2022,2021,2020
Cash & Equivalents,0.02,0.16,1.5
Cash & Cash Equivalents,0.02,0.16,1.5
Cash Growth,-85.01%,-89.59%,-
Other Current Assets,0.66,0.56,0.43
Total Current Assets,0.69,0.71,1.94
Long-Term Investments,152.36,595.45,595.12
Total Long-Term Assets,152.36,595.45,595.12
Total Assets,153.05,596.16,597.06
Accounts Payable,0.4,0.4,0
Current Debt,3.52,1.72,1.2
Other Current Liabilities,1.71,1.83,0.05
Total Current Liabilities,5.63,3.95,1.25
Other Long-Term Liabilities,21,41.37,134.01
Total Long-Term Liabilities,21,41.37,134.01
Total Liabilities,26.63,45.32,135.26
Total Debt,3.52,1.72,1.2
Debt Growth,104.87%,42.82%,-
Common Stock,0,0,0
Retained Earnings,-25.94,-44.15,-133.2
Shareholders' Equity,-25.94,-44.15,-133.2
Total Liabilities and Equity,0.69,1.17,2.06
Net Cash / Debt,-3.49,-1.56,0.3
Net Cash Per Share,-0.05,-0.02,0.01
Working Capital,-4.94,-3.24,0.68
Book Value Per Share,-0.40,-0.59,-3.44
