Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Cash & Equivalents,"1,176.65","3,758.17","2,209.07",837.49,"1,020.4","1,666.17","1,434.53",857.34,753.06,416.62,Upgrade
Cash & Cash Equivalents,"1,176.65","3,758.17","2,209.07",837.49,"1,020.4","1,666.17","1,434.53",857.34,753.06,416.62,Upgrade
Cash Growth,-68.69%,70.12%,163.77%,-17.92%,-38.76%,16.15%,67.32%,13.85%,80.76%,-3.58%,Upgrade
"Property, Plant & Equipment",270.31,279.16,245.34,154.43,95.25,104.89,75.91,73.09,77.52,69.9,Upgrade
Goodwill and Intangibles,"1,888.89","1,886.49","1,817.8","1,478.01","1,478.01","1,478.38",863.77,710.25,709.79,375.55,Upgrade
Total Assets,"29,489.38","29,328.9","26,184.25","19,662.32","19,250.5","19,058.96","14,508.89","12,577.94","12,328.81","8,735.32",Upgrade
Total Liabilities,"24,973.19","24,610.27","21,886.63","16,298.49","15,998.87","15,818.43","12,273.15","10,865.31","10,672.65","7,693.59",Upgrade
Total Debt,"2,434.1","1,032.94","1,079.88","2,274.03","1,850.43","1,841.56","1,381.58","1,438.28","1,540.97","1,006.45",Upgrade
Debt Growth,135.65%,-4.35%,-52.51%,22.89%,0.48%,33.29%,-3.94%,-6.66%,53.11%,67.77%,Upgrade
Common Stock,"3,273.5","3,332.74","3,069.86","2,266.12","2,295.61","2,390.74","1,407.47",926.24,915.61,349.83,Upgrade
Retained Earnings,"1,575.43","1,390.78","1,205.4","1,132.58","1,013.04",891.82,872.99,824.6,776.31,734.95,Upgrade
Comprehensive Income,-332.73,-4.89,22.37,-34.87,-57.02,-42.03,-44.72,-38.21,-35.76,-43.05,Upgrade
Shareholders' Equity,"4,516.19","4,718.63","4,297.62","3,363.83","3,251.62","3,240.53","2,235.75","1,712.64","1,656.16","1,041.73",Upgrade
Total Liabilities and Equity,"29,489.38","29,328.9","26,184.25","19,662.32","19,250.5","19,058.96","14,508.89","12,577.94","12,328.81","8,735.32",Upgrade
Net Cash / Debt,"-1,257.45","2,725.23","1,129.19","-1,436.53",-830.03,-175.4,52.95,-580.94,-787.9,-589.83,Upgrade
Net Cash / Debt Growth,-,141.34%,-,-,-,-,-,-,-,-,Upgrade
Net Cash Per Share,-9.31,21.04,9.40,-14.10,-7.96,-1.79,0.72,-8.34,-11.65,-11.70,Upgrade
Book Value Per Share,33.51,36.50,35.81,33.11,31.26,33.23,30.41,24.70,24.57,20.69,Upgrade
