Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Cash & Equivalents,"1,977.78","3,009.85","4,252.92","1,186.92","1,143.56",932.93,940.99,"1,214.37","1,218.66","1,138.48",Upgrade
Cash & Cash Equivalents,"1,977.78","3,009.85","4,252.92","1,186.92","1,143.56",932.93,940.99,"1,214.37","1,218.66","1,138.48",Upgrade
Cash Growth,-34.29%,-29.23%,258.32%,3.79%,22.58%,-0.86%,-22.51%,-0.35%,7.04%,-46.71%,Upgrade
"Property, Plant & Equipment",370.63,407.24,463.96,493.94,434.31,426.81,417.49,445.16,455.24,468.87,Upgrade
Goodwill and Intangibles,479.51,487.99,497.5,552.94,67.19,68.57,72.9,24.9,24.43,24.43,Upgrade
Total Assets,"59,731.38","57,317.23","54,394.16","48,203.28","32,669.19","31,221.84","30,104","28,792.65","27,050.24","26,201.6",Upgrade
Total Liabilities,"55,255.58","52,020.43","49,232.83","43,261.59","29,535.59","28,260.27","27,176.08","25,792.46","24,008.97","23,252.62",Upgrade
Total Debt,"4,859.57","1,468.56","1,430.42","4,073.15","2,544.85","1,867.33","2,320.58","2,363.92","2,266.24","2,181.27",Upgrade
Debt Growth,230.91%,2.67%,-64.88%,60.05%,36.28%,-19.53%,-1.83%,4.31%,3.90%,13.15%,Upgrade
Common Stock,"3,683.15","3,669.14","3,824.68","3,807.72","2,384.26","2,472.11","2,631.82","2,855.04","3,038.98","3,127.76",Upgrade
Retained Earnings,"2,234.77","1,709.98","1,178.02","1,068.33",843.77,544.21,351.77,174.97,14.89,-137.51,Upgrade
Comprehensive Income,"-1,442.12",-82.32,158.64,65.64,-94.42,-54.75,-55.66,-29.82,-12.61,-41.26,Upgrade
Shareholders' Equity,"4,475.8","5,296.8","5,161.33","4,941.69","3,133.6","2,961.57","2,927.92","3,000.2","3,041.27","2,948.99",Upgrade
Total Liabilities and Equity,"59,731.38","57,317.23","54,394.16","48,203.28","32,669.19","31,221.84","30,104","28,792.65","27,050.24","26,201.6",Upgrade
Net Cash / Debt,"-2,881.79","1,541.29","2,822.5","-2,886.23","-1,401.29",-934.4,"-1,379.6","-1,149.55","-1,047.58","-1,042.79",Upgrade
Net Cash / Debt Growth,-,-45.39%,-,-,-,-,-,-,-,-,Upgrade
Net Cash Per Share,-19.67,10.38,19.04,-18.49,-11.84,-7.66,-11.03,-8.63,-7.53,-7.77,Upgrade
Book Value Per Share,30.79,36.02,35.01,32.02,26.64,24.44,23.54,22.66,21.96,23.13,Upgrade
