Year,2022,2021,2020,2019,2018
Cash & Equivalents,174.17,504.78,330.91,266.58,0
Cash & Cash Equivalents,174.17,504.78,330.91,266.58,0
Cash Growth,-65.50%,52.54%,24.13%,-,-
Receivables,71.27,51.14,41.09,72.87,0
Other Current Assets,-,-,-370.56,-339.45,-
Total Current Assets,-,-,1.43,0.01,-
"Property, Plant & Equipment",202.11,50.27,70.63,76.68,0
Long-Term Investments,-,-,230.01,0,-
Goodwill and Intangibles,60.16,66.74,73.32,79.9,0
Other Long-Term Assets,-,-,-143.95,-156.52,-
Total Long-Term Assets,-,-,230.01,0.05,-
Total Assets,717.09,718.33,542.95,524.85,0
Accounts Payable,46.34,31.05,22.25,18.83,0
Deferred Revenue,5.01,7.85,10.6,1.68,0
Current Debt,-,-,0,0,0
Other Current Liabilities,-,-,-32.05,-20.47,0
Total Current Liabilities,-,-,0.79,0.04,0
Other Long-Term Liabilities,-,-,27.17,0,0
Total Long-Term Liabilities,-,-,27.17,0,0
Total Liabilities,456.95,446.98,468.77,442.94,0
Total Debt,165.6,43.45,205.19,216.25,0
Debt Growth,281.15%,-78.83%,-5.11%,-,-
Common Stock,162.07,146.14,76.51,87.73,0
Retained Earnings,-18.07,-18.08,0,-0,-0
Comprehensive Income,-6.54,-1.75,-2.33,-5.82,0
Shareholders' Equity,137.46,126.32,74.18,81.91,-0
Total Liabilities and Equity,594.42,573.29,542.95,524.85,0
Net Cash / Debt,8.57,461.33,125.71,50.33,0
Net Cash / Debt Growth,-98.14%,266.97%,149.78%,-,-
Net Cash Per Share,0.10,4.97,4.15,7.33,-
Working Capital,-,-,0.64,-0.03,-
Book Value Per Share,3.14,2.97,2.45,11.92,-
