Year,2022,2021,2020
Cash & Equivalents,149.95,166.54,80.21
Cash & Cash Equivalents,149.95,166.54,80.21
Cash Growth,-9.97%,107.64%,-
"Property, Plant & Equipment",14.46,15,14.16
Goodwill and Intangibles,19.57,19.65,1.92
Total Assets,"1,840.06","1,484.64",851.61
Total Liabilities,"1,667.47","1,362.11",773.56
Total Debt,126.32,184.16,100.14
Debt Growth,-31.41%,83.90%,-
Common Stock,126.73,97.3,63.77
Retained Earnings,46.48,24.97,14.12
Comprehensive Income,-0.62,0.26,0.16
Shareholders' Equity,172.58,122.53,78.04
Total Liabilities and Equity,"1,840.06","1,484.64",851.61
Net Cash / Debt,23.63,-17.61,-19.93
Net Cash Per Share,-,-3.70,-4.71
Book Value Per Share,23.66,26.24,18.75
