Year,2022,2021,2020
Cash & Equivalents,31.67,41.66,38.34
Cash & Cash Equivalents,31.67,41.66,38.34
Cash Growth,-23.98%,8.64%,-
"Property, Plant & Equipment",3.33,3.46,3.52
Total Assets,366.18,338.85,332.97
Total Liabilities,291.93,290.21,285.72
Total Debt,0,0.92,3.72
Debt Growth,-,-75.33%,-
Common Stock,25.28,0,-0.01
Retained Earnings,48.97,48.63,47.25
Comprehensive Income,0,0.02,0.01
Shareholders' Equity,74.25,48.65,47.25
Total Liabilities and Equity,366.18,338.85,332.97
Net Cash / Debt,31.67,40.74,34.62
Net Cash / Debt Growth,-22.27%,17.67%,-
Net Cash Per Share,5.38,-,-
Book Value Per Share,12.61,7.40,-
