Year,2022,2021,2020
Cash & Equivalents,0,0.12,0.94
Cash & Cash Equivalents,0,0.12,0.94
Cash Growth,-99.73%,-87.66%,-
Receivables,2.75,0,0
Other Current Assets,0,0.09,0.32
Total Current Assets,2.75,0.21,1.26
Long-Term Investments,11.97,172.54,172.51
Total Long-Term Assets,11.97,172.54,172.51
Total Assets,14.72,172.75,173.77
Accounts Payable,1.87,0.16,0.33
Other Current Liabilities,2.9,1.76,0.18
Total Current Liabilities,4.76,1.92,0.51
Other Long-Term Liabilities,0.13,12.64,20.62
Total Long-Term Liabilities,0.13,12.64,20.62
Total Liabilities,4.9,14.56,21.13
Common Stock,0,0,0
Retained Earnings,-2,-14.31,-19.86
Shareholders' Equity,-2,-14.31,-19.86
Total Liabilities and Equity,2.9,0.25,1.27
Net Cash / Debt,0,0.12,0.94
Net Cash / Debt Growth,-99.73%,-87.66%,-
Net Cash Per Share,0.00,0.01,0.20
Working Capital,-2.01,-1.71,0.75
Book Value Per Share,-0.15,-0.66,-4.17
