Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Cash & Equivalents,"1,312.56","6,721.57","4,609.26",688.7,408.98,377.63,374.45,695.79,417.87,479.46,Upgrade
Cash & Cash Equivalents,"1,312.56","6,721.57","4,609.26",688.7,408.98,377.63,374.45,695.79,417.87,479.46,Upgrade
Cash Growth,-80.47%,45.83%,569.27%,68.39%,8.30%,0.85%,-46.18%,66.51%,-12.85%,25.89%,Upgrade
Receivables,0,0,0,0,0,0,0,0,0,86.45,Upgrade
"Property, Plant & Equipment",538.39,568.08,615.25,322.75,241.08,255.57,183.51,174.54,171.77,188.11,Upgrade
Goodwill and Intangibles,"2,039.56","1,709.15","1,726.53","1,052.72","1,065.8","1,073.38",378.19,385.77,366.93,377.6,Upgrade
Total Assets,"43,918.7","41,838.46","37,789.87","15,921.88","14,676.33","14,466.59","8,900.59","8,557.35","7,826.23","7,931.5",Upgrade
Total Liabilities,"38,843.77","37,035.52","33,141.99","13,548.87","12,310.03","12,157.67","7,766","7,497.96","6,841.31","6,950.03",Upgrade
Total Debt,948.69,"1,108.31","1,169.85","1,114.68",536.73,503.24,369.13,343.39,322.75,313.46,Upgrade
Debt Growth,-14.40%,-5.26%,4.95%,107.68%,6.66%,36.33%,7.50%,6.39%,2.96%,6.79%,Upgrade
Common Stock,"4,404.97","3,826.43","3,942.84","1,692.1","1,840.07","1,899.5",771.88,764.34,762.14,822.62,Upgrade
Retained Earnings,"1,347.04",997.66,657.45,679.9,551.11,419.85,370.92,298.92,223.16,168.58,Upgrade
Comprehensive Income,-677.09,-21.15,47.59,1.02,-24.88,-10.43,-8.21,-3.87,-0.38,-9.72,Upgrade
Shareholders' Equity,"5,074.93","4,802.94","4,647.88","2,373.01","2,366.3","2,308.92","1,134.59","1,059.38",984.92,981.47,Upgrade
Total Liabilities and Equity,"43,918.7","41,838.46","37,789.87","15,921.88","14,676.33","14,466.59","8,900.59","8,557.35","7,826.23","7,931.5",Upgrade
Net Cash / Debt,363.87,"5,613.27","3,439.41",-425.97,-127.75,-125.62,5.32,352.41,95.12,166,Upgrade
Net Cash / Debt Growth,-93.52%,63.20%,-,-,-,-,-98.49%,270.49%,-42.70%,90.05%,Upgrade
Net Cash Per Share,4.84,79.18,62.46,-12.24,-3.47,-4.20,0.22,14.55,3.94,8.27,Upgrade
Book Value Per Share,68.07,68.23,84.88,68.66,64.78,77.78,47.28,44.20,41.22,49.40,Upgrade
