Year,2022,2021,2020,2019
Cash & Equivalents,736,894,777,792
Short-Term Investments,80,88,319,117
Cash & Cash Equivalents,816,982,"1,096",909
Cash Growth,-16.90%,-10.40%,20.57%,-
Receivables,"3,191","2,281","2,302","2,457"
Inventory,635,580,713,726
Other Current Assets,238,23,52,42
Total Current Assets,"4,880","3,866","4,163","4,134"
"Property, Plant & Equipment","3,765","4,036","4,318","4,067"
Long-Term Investments,668,331,314,306
Goodwill and Intangibles,"16,209","6,442","6,696","6,856"
Other Long-Term Assets,"1,854","1,245","1,166","1,318"
Total Long-Term Assets,"22,496","12,054","12,494","12,547"
Total Assets,"27,376","15,920","16,657","16,681"
Accounts Payable,"7,639","9,051","8,248","7,587"
Current Debt,415,53,114,274
Other Current Liabilities,"-2,069","-3,475","-4,096","-3,763"
Total Current Liabilities,"5,985","5,629","4,266","4,098"
Long-Term Debt,"12,498","5,193","5,075","5,016"
Other Long-Term Liabilities,"4,822","3,962","4,610","4,402"
Total Long-Term Liabilities,"17,320","9,155","9,685","9,418"
Total Liabilities,"23,305","14,784","13,951","13,516"
Total Debt,"12,913","5,246","5,189","5,290"
Debt Growth,146.15%,1.10%,-1.91%,-
Common Stock,359,-516,"1,227","1,397"
Shareholders' Equity,359,-516,"1,227","1,397"
Total Liabilities and Equity,"23,664","14,268","15,178","14,913"
Net Cash / Debt,"-12,097","-4,264","-4,093","-4,381"
Working Capital,"-1,105","-1,763",-103,36
Book Value Per Share,3.63,-6.62,-,-
