Year,2021,2020,2019
Cash & Equivalents,7.96,6.84,4.86
Cash & Cash Equivalents,7.96,6.84,4.86
Cash Growth,16.40%,40.52%,-
Receivables,3.59,2.71,8.02
"Property, Plant & Equipment",0.66,0.02,0.02
Goodwill and Intangibles,0.06,0.06,0.06
Total Assets,13.88,10.26,13.29
Accounts Payable,3.31,3.26,6.14
Total Liabilities,3.69,3.51,6.86
Total Debt,0.24,0,0
Common Stock,2.96,2.96,2.96
Retained Earnings,7.26,3.77,3.43
Comprehensive Income,-0.03,0.02,0.04
Shareholders' Equity,10.2,6.75,6.43
Total Liabilities and Equity,13.88,10.26,13.29
Net Cash / Debt,7.71,6.84,4.86
Net Cash / Debt Growth,12.82%,40.52%,-
Net Cash Per Share,0.26,0.23,0.16
Book Value Per Share,0.34,0.23,0.21
