Year,2022,2021,2020
Cash & Equivalents,62.35,52.98,43.41
Cash & Cash Equivalents,62.35,52.98,43.41
Cash Growth,17.70%,22.03%,-
"Property, Plant & Equipment",3.7,3.78,3.98
Total Assets,"1,064.46",666.49,587.63
Total Liabilities,901.73,589.22,514.59
Total Debt,174,9,18
Debt Growth,1833.33%,-50.00%,-
Common Stock,82.41,0,73.31
Retained Earnings,80.08,77.36,-
Comprehensive Income,0.25,-0.08,-0.28
Shareholders' Equity,162.73,77.27,73.03
Total Liabilities and Equity,"1,064.46",666.49,587.63
Net Cash / Debt,-111.65,43.98,25.41
Net Cash / Debt Growth,-,73.05%,-
Net Cash Per Share,-13.20,-,-
Book Value Per Share,19.24,8.67,-
