Year,2022,2021,2020
Cash & Equivalents,2.09,0.46,0.04
Cash & Cash Equivalents,2.09,0.46,0.04
Cash Growth,351.12%,1198.01%,-
Other Current Assets,0.08,0.27,0.47
Total Current Assets,2.16,0.73,0.5
Long-Term Investments,25.04,276.12,0
Other Long-Term Assets,0,0.01,0
Total Long-Term Assets,25.04,276.13,0
Total Assets,27.2,276.86,0.5
Accounts Payable,0.14,0.02,0
Current Debt,0.3,0.15,0.15
Other Current Liabilities,6.7,3.15,0.33
Total Current Liabilities,7.13,3.32,0.48
Other Long-Term Liabilities,7.22,14.7,0
Total Long-Term Liabilities,7.22,14.7,0
Total Liabilities,14.36,18.03,0.48
Total Debt,0.3,0.15,0.15
Debt Growth,100.00%,-,-
Common Stock,1.1,0,0.03
Retained Earnings,-13.53,-17.17,-0
Shareholders' Equity,-12.43,-17.17,0.02
Total Liabilities and Equity,1.93,0.86,0.5
Net Cash / Debt,1.79,0.31,-0.11
Net Cash / Debt Growth,471.74%,-,-
Net Cash Per Share,0.26,0.05,-0.02
Working Capital,-4.97,-2.6,0.02
Book Value Per Share,-1.80,-2.50,0.00
