Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Cash & Equivalents,22.82,88.8,62.22,46.2,30.14,24.27,18.27,11.08,30.62,39.47,Upgrade
Cash & Cash Equivalents,22.82,88.8,62.22,46.2,30.14,24.27,18.27,11.08,30.62,39.47,Upgrade
Cash Growth,-74.31%,42.73%,34.66%,53.29%,24.18%,32.85%,64.87%,-63.81%,-22.42%,-10.93%,Upgrade
Receivables,189.5,775.37,618.36,544.89,517.58,436.34,414.61,441.51,489.68,507.43,Upgrade
"Property, Plant & Equipment",49.57,52.16,51.41,53.12,54.69,55.85,54.61,47.1,42.55,40.26,Upgrade
Goodwill and Intangibles,53.56,53.56,53.72,54.13,54.53,59.3,64.37,71.29,72.7,74.88,Upgrade
Total Assets,"4,767.07","4,508.3","3,938.49","3,545.72","3,105.07","2,947.24","2,777.63","2,735.47","2,775.54","2,740.31",Upgrade
Accounts Payable,61.1,42.85,42.27,25.69,22.59,21.62,17.93,37.56,38.01,47.33,Upgrade
Deferred Revenue,923.54,680.44,586.39,540.21,496.51,451.45,433.78,422.09,401.41,392.08,Upgrade
Total Liabilities,"3,589.73","3,278.94","2,802.51","2,550.33","2,298.22","2,093.65","1,954.06","1,912","1,930.48","1,911.34",Upgrade
Total Debt,199.86,199.68,149.49,149.3,149.12,148.93,148.74,148.55,149.63,149.58,Upgrade
Debt Growth,0.09%,33.57%,0.13%,0.13%,0.13%,0.13%,0.13%,-0.72%,0.03%,49.58%,Upgrade
Common Stock,-39.92,-48.58,-56.95,-71.13,-86.67,-92.84,-96.35,-105.18,-113.23,-118.38,Upgrade
Retained Earnings,"1,446.34","1,228.11","1,084.22","1,014.05",908.08,788.52,797.31,804.88,786.91,811.32,Upgrade
Comprehensive Income,-229.08,49.83,108.71,52.47,-14.57,157.92,122.61,123.77,171.38,136.03,Upgrade
Shareholders' Equity,"1,177.34","1,229.36","1,135.98",995.39,806.84,853.6,823.57,823.47,845.06,828.97,Upgrade
Total Liabilities and Equity,"4,767.07","4,508.3","3,938.49","3,545.72","3,105.07","2,947.24","2,777.63","2,735.47","2,775.54","2,740.31",Upgrade
Net Cash / Debt,-177.05,-110.87,-87.27,-103.1,-118.98,-124.66,-130.47,-137.47,-119.01,-110.11,Upgrade
Net Cash Per Share,-3.87,-2.43,-1.92,-2.28,-2.65,-2.80,-2.94,-3.12,-2.72,-2.53,Upgrade
Book Value Per Share,25.95,27.18,25.24,22.25,18.19,19.39,18.82,19.02,19.64,19.39,Upgrade
