Year,2022,2021,2020,2019,2018,2017,2016,2015,2014
Cash & Equivalents,"31,645,291","25,329,846","23,701,149","23,738,042","18,730,810","18,165,644","20,460,245","18,597,614","13,466,783"
Cash & Cash Equivalents,"31,645,291","25,329,846","23,701,149","23,738,042","18,730,810","18,165,644","20,460,245","18,597,614","13,466,783"
Cash Growth,24.93%,6.87%,-0.16%,26.73%,3.11%,-11.21%,10.02%,38.10%,-
"Property, Plant & Equipment","8,554,174","6,796,517","5,963,319","5,519,981","3,368,647","3,127,405","3,115,697","3,052,266","2,646,321"
Goodwill and Intangibles,"10,439,192","8,628,772","7,507,321","7,233,312","7,201,855","6,631,424","6,694,037","7,092,255","4,585,849"
Total Assets,"352,814,733","289,855,048","255,568,505","236,088,113","220,076,482","203,908,211","196,261,044","192,972,867","149,629,881"
Total Liabilities,"312,817,182","255,929,590","227,453,292","207,282,494","193,421,257","179,478,661","173,784,064","172,564,948","132,263,401"
Total Debt,"42,260,078","33,114,229","35,125,814","37,026,180","38,940,752","36,706,994","39,534,662","40,389,505","30,271,646"
Debt Growth,27.62%,-5.73%,-5.13%,-4.92%,6.09%,-7.15%,-2.12%,33.42%,-
Common Stock,"5,338,368","5,338,368","5,338,368","5,338,368","5,338,368","5,338,368","5,338,368","5,338,368","5,338,368"
Retained Earnings,"25,992,319","22,021,590","18,017,847","18,225,453","16,307,583","15,228,337","13,853,066","11,727,967","10,797,898"
Comprehensive Income,"7,758,216","4,874,389","3,189,014","3,320,098","3,202,969","2,546,259","2,076,149","2,213,114","735,641"
Shareholders' Equity,"39,088,903","32,234,347","26,545,229","26,883,919","24,848,920","23,112,964","21,267,583","19,279,449","16,871,907"
Total Liabilities and Equity,"351,906,085","288,163,937","253,998,521","234,166,413","218,270,177","202,591,625","195,051,647","191,844,397","149,135,308"
Net Cash / Debt,"-10,614,787","-7,784,383","-11,424,665","-13,288,138","-20,209,942","-18,541,350","-19,074,417","-21,791,891","-16,804,863"
Book Value Per Share,162561.05,134054.66,110395.02,111803.55,103340.50,96121.09,88446.60,80178.45,-
