Year,2022,2021,2020,2019
Cash & Equivalents,259.99,425.33,290.49,177.37
Cash & Cash Equivalents,259.99,425.33,290.49,177.37
Cash Growth,-38.87%,46.42%,63.78%,-
"Property, Plant & Equipment",5.59,1.77,1.66,1.29
Total Assets,"3,227.16","2,556.76","1,953.77","1,479.86"
Total Liabilities,"2,974.33","2,321.72","1,819.99","1,370.98"
Total Debt,177.85,28.39,28.32,53.25
Debt Growth,526.54%,0.23%,-46.82%,-
Common Stock,219.54,218.44,110.08,96.11
Retained Earnings,46.74,17.17,22.35,12.79
Comprehensive Income,-13.45,-0.57,1.35,-0.03
Shareholders' Equity,252.83,235.05,133.78,108.88
Total Liabilities and Equity,"3,227.16","2,556.76","1,953.77","1,479.86"
Net Cash / Debt,82.14,396.94,262.17,124.11
Net Cash / Debt Growth,-79.31%,51.40%,111.24%,-
Book Value Per Share,14.66,13.65,8.22,-
