Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1985
Cash & Equivalents,0.66,4.16,11.5,11.33,7.8,3.45,15.43,17.92,20.75,8.54,Upgrade
Cash & Cash Equivalents,0.66,4.16,11.5,11.33,7.8,3.45,15.43,17.92,20.75,8.54,Upgrade
Cash Growth,-84.23%,-63.84%,1.49%,45.21%,125.98%,-77.63%,-13.89%,-13.62%,143.00%,1.90%,Upgrade
Receivables,0.26,3.29,3.61,0.88,0.77,0.76,0.41,0.4,0.53,2.31,Upgrade
Total Current Assets,0.92,7.45,15.11,12.2,8.57,4.22,15.84,18.32,21.28,10.85,Upgrade
"Property, Plant & Equipment",0.07,0,0,0,0,0,0,0,0,0,Upgrade
Long-Term Investments,65.69,107.46,83.78,87.24,75.05,79.46,58.33,77.15,89.76,112.9,Upgrade
Total Long-Term Assets,65.76,107.46,83.78,87.24,75.05,79.46,58.33,77.15,89.76,112.9,Upgrade
Total Assets,66.95,115.4,99.25,99.79,84.05,84.13,74.62,96.46,112.09,125.06,Upgrade
Accounts Payable,0.69,0.58,0.74,0.74,0.82,1.45,0.88,1.27,0.84,0.79,Upgrade
Total Current Liabilities,0.69,0.58,0.74,0.74,0.82,1.45,0.88,1.27,0.84,0.79,Upgrade
Long-Term Debt,0.07,0,0,0,0,0,0,5,0,0,Upgrade
Other Long-Term Liabilities,0.62,0.58,0.74,0.74,0.82,1.45,0.88,-3.73,0.84,0.79,Upgrade
Total Long-Term Liabilities,0.69,0.58,0.74,0.74,0.82,1.45,0.88,1.27,0.84,0.79,Upgrade
Total Liabilities,1.41,4.83,2.94,4.57,2.02,3.08,2.37,7.75,2.44,2.36,Upgrade
Total Debt,0.07,0,0,0,0,0,0,5,0,0,Upgrade
Common Stock,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,Upgrade
Retained Earnings,-45.87,-4.15,-21.66,-23.3,-41.35,-5.21,0.3,-83.38,-80.43,-67.45,Upgrade
Comprehensive Income,0,0,0,0,0,0,0,1,1,-67,Upgrade
Shareholders' Equity,65.55,110.58,96.32,95.21,82.03,81.04,72.26,88.71,109.65,122.7,Upgrade
Total Liabilities and Equity,66.95,115.4,99.25,99.79,84.05,84.13,74.62,96.46,112.09,125.06,Upgrade
Net Cash / Debt,0.58,4.16,11.5,11.33,7.8,3.45,15.43,12.92,20.75,8.54,Upgrade
Net Cash / Debt Growth,-85.98%,-63.84%,1.49%,45.21%,125.98%,-77.63%,19.43%,-37.72%,143.00%,1.90%,Upgrade
Net Cash Per Share,0.06,0.40,1.11,1.08,0.75,0.33,1.50,1.24,1.99,0.82,Upgrade
Working Capital,0.23,6.88,14.37,11.47,7.75,2.77,14.96,17.05,20.44,10.07,Upgrade
Book Value Per Share,6.32,10.66,9.28,9.10,7.91,7.81,7.02,8.54,10.54,11.82,Upgrade
