Year,2022,2021,2020
Cash & Equivalents,50.83,11.85,1.29
Cash & Cash Equivalents,50.83,11.85,1.29
Cash Growth,328.83%,821.04%,-
Receivables,72.29,47.3,1.22
Other Current Assets,23.2,38.93,0.57
Total Current Assets,146.32,98.08,3.07
"Property, Plant & Equipment",644.99,448.77,37.71
Other Long-Term Assets,3.47,0.39,0
Total Long-Term Assets,648.46,449.17,37.71
Total Assets,794.78,547.25,40.78
Current Debt,0,50,6.4
Other Current Liabilities,64.13,17.6,0.69
Total Current Liabilities,64.13,67.6,7.09
Long-Term Debt,0,1.1,0
Other Long-Term Liabilities,108.24,3.62,0.49
Total Long-Term Liabilities,108.24,4.72,0.49
Total Liabilities,172.37,72.32,7.57
Total Debt,0,51.1,6.4
Debt Growth,-,698.44%,-
Common Stock,590.02,474.93,43.09
Retained Earnings,32.39,0,-9.88
Shareholders' Equity,622.4,474.93,33.21
Total Liabilities and Equity,794.78,547.25,40.78
Net Cash / Debt,50.83,-39.25,-5.11
Net Cash Per Share,0.38,-0.30,-0.04
Working Capital,82.19,30.48,-4.01
Book Value Per Share,4.68,3.57,0.25
