Year,2022,2021,2020,2019
Cash & Equivalents,13.15,121.61,31.87,32.38
Cash & Cash Equivalents,13.15,121.61,31.87,32.38
Cash Growth,-89.19%,281.61%,-1.58%,-
"Property, Plant & Equipment",5.04,5.09,5.21,5.4
Total Assets,264.21,340.87,242.22,235.55
Total Liabilities,183.66,295.69,195.49,189.78
Total Debt,0,5,4,0
Debt Growth,-,25.00%,-,-
Common Stock,46.38,0,0,0
Retained Earnings,45.29,45.26,45.32,45.43
Comprehensive Income,-11.13,-0.08,1.41,0.33
Shareholders' Equity,80.54,45.18,46.73,45.76
Total Liabilities and Equity,264.21,340.87,242.22,235.55
Net Cash / Debt,13.15,116.61,27.87,32.38
Net Cash / Debt Growth,-88.73%,318.44%,-13.93%,-
Net Cash Per Share,2.78,-,-,-
Book Value Per Share,17.03,8.37,8.66,-
