Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Cash & Equivalents,56.56,152.62,94.15,96.27,107,96.24,61.81,59.9,44.5,45.41,Upgrade
Cash & Cash Equivalents,56.56,152.62,94.15,96.27,107,96.24,61.81,59.9,44.5,45.41,Upgrade
Cash Growth,-62.94%,62.11%,-2.21%,-10.03%,11.18%,55.70%,3.20%,34.61%,-2.01%,-18.60%,Upgrade
Receivables,119.83,124.02,121.29,110.61,78.65,72.56,77.63,61.73,85.79,46.44,Upgrade
"Property, Plant & Equipment",70.98,75.09,80.46,87.88,0,0,0,0,0,0,Upgrade
Goodwill and Intangibles,15.29,19.59,23.04,28.19,59,64.21,276.23,289.42,288.24,2.3,Upgrade
Total Assets,"7,063.73","7,839.19","7,948.02","6,808.31","6,314.65","5,900.88","5,863.17","5,642.1","6,842.34","5,621.69",Upgrade
Deferred Revenue,271.48,329.09,448.79,626.82,739.36,723.94,681.22,680.3,644.5,567.07,Upgrade
Total Liabilities,"3,144.4","3,580.39","3,663.67","2,759.59","2,825.94","2,900.84","2,990.89","3,145.17","4,670.59","4,682.05",Upgrade
Total Debt,"1,569.33","1,560.46","1,582.16","1,021.99","1,112.88","1,027.07","1,069.54","1,219.45","1,192.3",930.07,Upgrade
Debt Growth,0.57%,-1.37%,54.81%,-8.17%,8.35%,-3.97%,-12.29%,2.28%,28.19%,20.41%,Upgrade
Common Stock,589.17,957.77,"1,335.99","1,548.45","1,830.09","1,860.62","1,886.79","1,823.67","1,638.76","1,454.49",Upgrade
Retained Earnings,"3,786.95","3,180.94","2,684.64","2,389.79","1,719.54","1,116.33",997.89,691.74,406.81,-552.23,Upgrade
Comprehensive Income,-456.8,120.09,263.73,110.49,-60.92,23.09,-12.4,-18.48,51.49,37.38,Upgrade
Shareholders' Equity,"3,919.33","4,258.8","4,284.35","4,048.72","3,488.72","3,000.04","2,872.29","2,496.93","2,097.06",939.65,Upgrade
Total Liabilities and Equity,"7,063.73","7,839.19","7,948.02","6,808.31","6,314.65","5,900.88","5,863.17","5,642.1","6,767.65","5,621.69",Upgrade
Net Cash / Debt,"-1,512.77","-1,407.84","-1,488.01",-925.71,"-1,005.88",-930.83,"-1,007.72","-1,159.56","-1,147.8",-884.67,Upgrade
Net Cash Per Share,-8.86,-7.40,-7.57,-4.40,-4.60,-4.22,-4.40,-4.71,-4.91,-5.32,Upgrade
Book Value Per Share,23.34,22.61,21.92,19.39,16.28,13.93,13.56,12.49,11.36,5.65,Upgrade
